time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1536479966.777484587,-0.288715,0.296804,0.494571,0.37393,-0.298505,0.823712,0.304251,0.646596,-0.353989,1.73379,-1.0436,-1.34484,-0.783121,-0.0108282
1536479966.798434167,-0.290699,0.298841,0.491055,0.374712,-0.299473,0.823555,0.30276,0.647065,-0.364433,1.73497,-1.04399,-1.34502,-0.769649,-0.0108767
1536479966.819481087,-0.29261,0.300809,0.487589,0.375479,-0.300407,0.823404,0.301292,0.647523,-0.37465,1.73612,-1.04438,-1.3452,-0.75647,-0.0109241
1536479966.840582485,-0.294447,0.302709,0.484177,0.376231,-0.301306,0.823259,0.299848,0.647971,-0.384628,1.73724,-1.04476,-1.34537,-0.743599,-0.0109704
1536479966.861390450,-0.29621,0.30454,0.480827,0.376968,-0.30217,0.82312,0.298432,0.648408,-0.394359,1.73834,-1.04512,-1.34554,-0.731048,-0.0110156
1536479966.882108237,-0.2979,0.306301,0.477543,0.377688,-0.303,0.822987,0.297044,0.648833,-0.403831,1.73941,-1.04548,-1.34571,-0.718829,-0.0110596
1536479966.903145234,-0.299516,0.307993,0.474331,0.37839,-0.303796,0.82286,0.295687,0.649246,-0.413037,1.74044,-1.04583,-1.34586,-0.706954,-0.0111023
1536479966.922327400,-0.30106,0.309615,0.471196,0.379074,-0.304557,0.822738,0.294363,0.649646,-0.421967,1.74145,-1.04617,-1.34602,-0.695436,-0.0111437
1536479966.942520142,-0.302532,0.311168,0.468143,0.379739,-0.305283,0.822622,0.293075,0.650034,-0.430611,1.74242,-1.04649,-1.34617,-0.684285,-0.0111838
1536479966.963023362,-0.303933,0.312651,0.465177,0.380383,-0.305976,0.822512,0.291824,0.650409,-0.438962,1.74336,-1.04681,-1.34631,-0.673512,-0.0112226
1536479966.984335714,-0.305263,0.314065,0.462303,0.381007,-0.306635,0.822407,0.290613,0.65077,-0.447012,1.74427,-1.04711,-1.34645,-0.663129,-0.01126
1536479967.004964839,-0.306524,0.31541,0.459526,0.381608,-0.30726,0.822308,0.289442,0.651117,-0.454752,1.74514,-1.04741,-1.34659,-0.653145,-0.0112959
1536479967.025619679,-0.307716,0.316686,0.45685,0.382187,-0.307851,0.822214,0.288315,0.65145,-0.462175,1.74598,-1.04769,-1.34671,-0.64357,-0.0113303
1536479967.046170012,-0.30884,0.317894,0.45428,0.382742,-0.30841,0.822125,0.287233,0.651768,-0.469273,1.74678,-1.04796,-1.34684,-0.634414,-0.0113633
1536479967.066951345,-0.309897,0.319034,0.45182,0.383273,-0.308936,0.822041,0.286197,0.652072,-0.47604,1.74754,-1.04821,-1.34695,-0.625686,-0.0113947
1536479967.087608000,-0.310888,0.320107,0.449473,0.383779,-0.30943,0.821963,0.285209,0.65236,-0.482468,1.74826,-1.04845,-1.34707,-0.617394,-0.0114245
1536479967.107964548,-0.311814,0.321113,0.447244,0.384259,-0.309892,0.821889,0.284271,0.652633,-0.488552,1.74895,-1.04868,-1.34717,-0.609546,-0.0114527
1536479967.128580821,-0.312677,0.322052,0.445137,0.384712,-0.310323,0.821821,0.283384,0.652891,-0.494285,1.74959,-1.0489,-1.34727,-0.602151,-0.0114794
1536479967.149216633,-0.313477,0.322926,0.443154,0.385139,-0.310722,0.821757,0.28255,0.653132,-0.499662,1.7502,-1.0491,-1.34736,-0.595215,-0.0115043
1536479967.169995570,-0.314215,0.323735,0.4413,0.385538,-0.311091,0.821699,0.28177,0.653357,-0.504677,1.75076,-1.04929,-1.34745,-0.588746,-0.0115276
1536479967.190280736,-0.314892,0.324478,0.439576,0.385908,-0.31143,0.821645,0.281045,0.653565,-0.509326,1.75129,-1.04947,-1.34753,-0.582749,-0.0115492
1536479967.211537917,-0.315509,0.325158,0.437986,0.38625,-0.311739,0.821595,0.280376,0.653757,-0.513604,1.75177,-1.04963,-1.3476,-0.577231,-0.011569
1536479967.232302492,-0.316067,0.325774,0.436532,0.386562,-0.312019,0.821551,0.279765,0.653932,-0.517506,1.75221,-1.04978,-1.34767,-0.572198,-0.0115871
1536479967.253184421,-0.316566,0.326327,0.435217,0.386844,-0.31227,0.821511,0.279212,0.65409,-0.521029,1.75261,-1.04991,-1.34773,-0.567653,-0.0116035
1536479967.274107386,-0.317008,0.326817,0.434043,0.387096,-0.312491,0.821475,0.278718,0.654231,-0.52417,1.75296,-1.05003,-1.34779,-0.563602,-0.011618
1536479967.295534268,-0.317394,0.327245,0.433012,0.387318,-0.312685,0.821444,0.278285,0.654355,-0.526924,1.75327,-1.05013,-1.34783,-0.560048,-0.0116308
1536479967.316214927,-0.317723,0.327611,0.432124,0.387508,-0.31285,0.821418,0.277912,0.654461,-0.529291,1.75354,-1.05022,-1.34787,-0.556996,-0.0116418
1536479967.336564806,-0.317996,0.327915,0.431383,0.387667,-0.312987,0.821396,0.2776,0.65455,-0.531266,1.75376,-1.0503,-1.34791,-0.554448,-0.011651
1536479967.357588953,-0.318214,0.328159,0.430788,0.387795,-0.313097,0.821378,0.27735,0.654621,-0.532849,1.75394,-1.05036,-1.34794,-0.552406,-0.0116583
1536479967.378580897,-0.318377,0.328341,0.430341,0.387891,-0.313179,0.821365,0.277162,0.654674,-0.534037,1.75407,-1.0504,-1.34796,-0.550873,-0.0116638
1536479967.399888348,-0.318486,0.328462,0.430043,0.387955,-0.313234,0.821356,0.277037,0.654709,-0.53483,1.75416,-1.05043,-1.34797,-0.54985,-0.0116675
1536479967.421490686,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479967.442068484,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479970.465552308,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479970.484178660,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479970.504934112,-0.318486,0.328462,0.430043,0.387955,-0.313234,0.821356,0.277037,0.654709,-0.53483,1.75416,-1.05043,-1.34797,-0.54985,-0.0116675
1536479970.525365039,-0.318377,0.328341,0.430341,0.387891,-0.313179,0.821365,0.277162,0.654674,-0.534037,1.75407,-1.0504,-1.34796,-0.550873,-0.0116638
1536479970.545956068,-0.318214,0.328159,0.430788,0.387795,-0.313097,0.821378,0.27735,0.654621,-0.532849,1.75394,-1.05036,-1.34794,-0.552406,-0.0116583
1536479970.567062526,-0.317996,0.327915,0.431383,0.387667,-0.312987,0.821396,0.2776,0.65455,-0.531266,1.75376,-1.0503,-1.34791,-0.554448,-0.011651
