time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535591787.250679068,-0.29694,-0.073065,0.541922,0.297195,-0.392551,0.870122,0.0215817,-1.12873,-0.143668,2.37625,-1.18949,-0.698345,-1.49485,-0.294525
1535591787.270827813,-0.296321,-0.0730603,0.542382,0.297038,-0.392232,0.870311,0.021939,-1.13118,-0.141465,2.37638,-1.18937,-0.696928,-1.49782,-0.294755
1535591787.291355062,-0.295805,-0.073054,0.542765,0.296904,-0.391965,0.870469,0.0222374,-1.13323,-0.139626,2.3765,-1.18927,-0.695746,-1.5003,-0.294948
1535591787.312770245,-0.295392,-0.0730474,0.54307,0.296796,-0.39175,0.870597,0.0224765,-1.13487,-0.138153,2.37659,-1.18919,-0.694798,-1.50228,-0.295102
1535591787.333313613,-0.295082,-0.0730416,0.543299,0.296714,-0.391588,0.870693,0.0226562,-1.1361,-0.137046,2.37666,-1.18913,-0.694087,-1.50377,-0.295218
1535591787.352579201,-0.294875,-0.0730373,0.543451,0.296659,-0.391479,0.870758,0.0227761,-1.13692,-0.136308,2.37671,-1.18909,-0.693612,-1.50477,-0.295295
1535591787.373068967,-0.294772,-0.073035,0.543528,0.296631,-0.391425,0.87079,0.0228361,-1.13734,-0.135939,2.37673,-1.18907,-0.693374,-1.50526,-0.295334
1535591787.396093161,-0.294763,-0.0730623,0.543533,0.296641,-0.391413,0.870791,0.0228513,-1.1374,-0.135964,2.37672,-1.18903,-0.69338,-1.50534,-0.295396
1535591787.414180236,-0.294763,-0.0730623,0.543533,0.296641,-0.391413,0.870791,0.0228513,-1.1374,-0.135964,2.37672,-1.18903,-0.69338,-1.50534,-0.295396
1535591787.434336936,-0.2948,-0.073283,0.543502,0.296744,-0.391373,0.870773,0.0229133,-1.13753,-0.136536,2.37664,-1.18866,-0.693661,-1.50546,-0.29585
1535591787.454944763,-0.294873,-0.0737241,0.54344,0.29695,-0.391294,0.870735,0.0230371,-1.13779,-0.137679,2.37647,-1.18793,-0.694223,-1.50571,-0.296759
1535591787.475900900,-0.294982,-0.0743856,0.543345,0.297258,-0.391173,0.870679,0.023222,-1.13818,-0.139391,2.37622,-1.18683,-0.695066,-1.50607,-0.298121
1535591787.495230324,-0.295125,-0.0752668,0.543218,0.297668,-0.391013,0.870604,0.0234671,-1.1387,-0.141672,2.37589,-1.18537,-0.696189,-1.50656,-0.299936
1535591787.516623285,-0.295303,-0.0763673,0.543056,0.29818,-0.390811,0.870512,0.0237714,-1.13935,-0.144518,2.37548,-1.18354,-0.69759,-1.50717,-0.3022
1535591787.536088813,-0.295514,-0.0776863,0.542858,0.298792,-0.390567,0.870402,0.0241334,-1.14013,-0.147928,2.37498,-1.18135,-0.699268,-1.5079,-0.304912
1535591787.556684346,-0.295756,-0.079223,0.542622,0.299502,-0.39028,0.870274,0.0245515,-1.14103,-0.151898,2.37441,-1.17881,-0.701221,-1.50875,-0.30807
1535591787.577125396,-0.296029,-0.0809761,0.542346,0.300311,-0.389951,0.87013,0.0250237,-1.14206,-0.156423,2.37375,-1.17591,-0.703449,-1.50971,-0.311669
1535591787.597059379,-0.296329,-0.0829446,0.542027,0.301215,-0.389577,0.869969,0.0255478,-1.14322,-0.1615,2.37301,-1.17265,-0.705947,-1.5108,-0.315707
1535591787.617548589,-0.296655,-0.0851269,0.541663,0.302214,-0.389157,0.869794,0.0261215,-1.1445,-0.167123,2.3722,-1.16904,-0.708715,-1.512,-0.32018
1535591787.639094353,-0.297004,-0.0875215,0.54125,0.303304,-0.388692,0.869603,0.026742,-1.1459,-0.173287,2.3713,-1.16509,-0.711748,-1.51332,-0.325083
1535591787.659735785,-0.297374,-0.0901264,0.540785,0.304485,-0.388178,0.869399,0.0274066,-1.14743,-0.179985,2.37033,-1.16079,-0.715045,-1.51475,-0.330411
1535591787.679060153,-0.297763,-0.0929395,0.540264,0.305753,-0.387616,0.869183,0.0281123,-1.14908,-0.187212,2.36928,-1.15616,-0.718602,-1.51629,-0.33616
1535591787.698990747,-0.298166,-0.0959585,0.539684,0.307106,-0.387004,0.868954,0.0288558,-1.15084,-0.19496,2.36816,-1.15119,-0.722415,-1.51795,-0.342323
1535591787.720306815,-0.298582,-0.0991807,0.539041,0.30854,-0.386341,0.868715,0.0296339,-1.15272,-0.203221,2.36696,-1.14589,-0.726481,-1.51971,-0.348894
1535591787.740138900,-0.299006,-0.102603,0.53833,0.310053,-0.385626,0.868466,0.030443,-1.15472,-0.211988,2.36568,-1.14027,-0.730795,-1.52159,-0.355867
1535591787.761107067,-0.299436,-0.106223,0.537547,0.311641,-0.384856,0.868209,0.0312797,-1.15683,-0.221251,2.36434,-1.13433,-0.735354,-1.52357,-0.363235
1535591787.780976183,-0.299867,-0.110037,0.536688,0.313301,-0.384032,0.867945,0.0321403,-1.15905,-0.231001,2.36292,-1.12807,-0.740153,-1.52565,-0.370991
1535591787.801430802,-0.300296,-0.11404,0.535749,0.315028,-0.383151,0.867676,0.0330211,-1.16138,-0.241229,2.36144,-1.12151,-0.745187,-1.52784,-0.379126
1535591787.822657929,-0.300718,-0.118229,0.534725,0.316818,-0.382214,0.867403,0.0339182,-1.16382,-0.251925,2.35988,-1.11465,-0.750451,-1.53012,-0.387634
1535591787.842328271,-0.30113,-0.122599,0.53361,0.318667,-0.381219,0.867128,0.034828,-1.16636,-0.263078,2.35827,-1.1075,-0.75594,-1.5325,-0.396506
1535591787.864758872,-0.301527,-0.127146,0.532402,0.32057,-0.380164,0.866852,0.0357467,-1.169,-0.274677,2.35658,-1.10006,-0.761648,-1.53498,-0.405732
1535591787.883759133,-0.301905,-0.131864,0.531094,0.322522,-0.37905,0.866577,0.0366706,-1.17174,-0.286711,2.35483,-1.09234,-0.767571,-1.53755,-0.415304
1535591787.903443124,-0.302261,-0.136747,0.529683,0.324519,-0.377875,0.866305,0.0375958,-1.17458,-0.299168,2.35303,-1.08436,-0.773701,-1.54022,-0.425212
1535591787.923674071,-0.302588,-0.14179,0.528165,0.326554,-0.37664,0.866038,0.038519,-1.17751,-0.312035,2.35116,-1.0761,-0.780034,-1.54297,-0.435447
1535591787.946432960,-0.302883,-0.146986,0.526534,0.328622,-0.375344,0.865776,0.0394365,-1.18053,-0.3253,2.34923,-1.0676,-0.786562,-1.5458,-0.445998
1535591787.966902613,-0.303142,-0.152329,0.524787,0.330719,-0.373987,0.865524,0.0403449,-1.18364,-0.338949,2.34725,-1.05884,-0.79328,-1.54872,-0.456856
1535591787.986769791,-0.30336,-0.157811,0.52292,0.332837,-0.372569,0.865281,0.041241,-1.18684,-0.35297,2.34521,-1.04985,-0.800181,-1.55171,-0.468008
1535591788.006381245,-0.303532,-0.163425,0.520929,0.334971,-0.371091,0.86505,0.0421216,-1.19011,-0.367349,2.34313,-1.04063,-0.807257,-1.55478,-0.479445
1535591788.026359968,-0.303655,-0.169163,0.518811,0.337115,-0.369554,0.864833,0.0429839,-1.19346,-0.38207,2.34099,-1.03119,-0.814502,-1.55793,-0.491155
1535591788.047462860,-0.303724,-0.175017,0.516562,0.339262,-0.367958,0.864632,0.043825,-1.19689,-0.39712,2.3388,-1.02153,-0.821909,-1.56115,-0.503127
1535591788.069175701,-0.303735,-0.180979,0.51418,0.341407,-0.366304,0.864448,0.0446425,-1.20039,-0.412485,2.33657,-1.01168,-0.829471,-1.56443,-0.515348
1535591788.087803386,-0.303684,-0.187039,0.511662,0.343543,-0.364594,0.864283,0.045434,-1.20396,-0.428147,2.3343,-1.00163,-0.83718,-1.56778,-0.527806
1535591788.108123547,-0.303566,-0.193188,0.509007,0.345663,-0.36283,0.864139,0.0461975,-1.20759,-0.444093,2.33198,-0.991406,-0.845027,-1.57118,-0.54049
1535591788.128366554,-0.30338,-0.199416,0.506211,0.347763,-0.361014,0.864018,0.0469309,-1.21129,-0.460307,2.32963,-0.981008,-0.853007,-1.57465,-0.553387
1535591788.149672241,-0.30312,-0.205715,0.503275,0.349834,-0.359149,0.863921,0.0476329,-1.21504,-0.476772,2.32724,-0.970448,-0.86111,-1.57817,-0.566484
