time,x,y,z,qx,qy,qz,qw
1535591787.257808855,-0.169264,0.524935,2.64238,0.42215,-0.0675424,0.278182,0.860141
1535591787.282205192,-0.169849,0.527599,2.64317,0.421661,-0.0701812,0.278046,0.860213
1535591787.299389483,-0.169859,0.527762,2.64306,0.421074,-0.0687948,0.277737,0.860713
1535591787.311062265,-0.168773,0.529312,2.64275,0.420547,-0.0708535,0.27915,0.860346
1535591787.324680586,-0.168364,0.530882,2.64332,0.42259,-0.0680435,0.276765,0.860342
1535591787.336087546,-0.167767,0.532217,2.64237,0.420479,-0.071734,0.278909,0.860385
1535591787.359496054,-0.165672,0.533563,2.64192,0.422174,-0.0700259,0.282569,0.858499
1535591787.394799687,-0.162954,0.536028,2.64233,0.421963,-0.0653398,0.283633,0.858622
1535591787.405546312,-0.162518,0.535836,2.64278,0.423183,-0.0673464,0.286079,0.857053
1535591787.419919911,-0.161749,0.536914,2.64297,0.423198,-0.0683506,0.287173,0.8566
1535591787.432304345,-0.161633,0.538105,2.64439,0.419648,-0.0663819,0.283221,0.859811
1535591787.449876331,-0.159997,0.541187,2.6468,0.41739,-0.0635492,0.28204,0.861511
1535591787.460724809,-0.159286,0.542402,2.64741,0.415773,-0.0635769,0.283292,0.86188
1535591787.480483497,-0.158341,0.54262,2.64772,0.417012,-0.0657238,0.286527,0.860049
1535591787.492192185,-0.158246,0.54292,2.64772,0.417037,-0.0666267,0.288092,0.859444
1535591787.504636629,-0.158913,0.543214,2.64764,0.416464,-0.0670204,0.28909,0.859356
1535591787.516448260,-0.160031,0.542958,2.64726,0.4133,-0.0698277,0.289764,0.860433
1535591787.542982291,-0.16179,0.543695,2.64849,0.411521,-0.071361,0.290228,0.861003
1535591787.561166299,-0.162577,0.543534,2.64914,0.413186,-0.0691567,0.291351,0.860005
1535591787.585066837,-0.162791,0.544277,2.64786,0.411749,-0.0675908,0.285056,0.862924
1535591787.603897637,-0.163538,0.544885,2.64788,0.408854,-0.0681837,0.284442,0.864455
1535591787.614927743,-0.165443,0.544788,2.64719,0.407542,-0.0718731,0.285939,0.864282
1535591787.629979282,-0.164022,0.546744,2.64736,0.410955,-0.0719739,0.290861,0.861009
1535591787.643402701,-0.164792,0.547046,2.64705,0.408636,-0.073567,0.291822,0.861653
1535591787.664028850,-0.16354,0.548342,2.64598,0.409957,-0.0706603,0.291631,0.861333
1535591787.684654554,-0.163434,0.547077,2.64343,0.414029,-0.0702988,0.289128,0.860258
1535591787.696579110,-0.163959,0.546573,2.64224,0.413696,-0.0723085,0.28856,0.860442
1535591787.709032837,-0.164054,0.546209,2.64147,0.416116,-0.0721822,0.289654,0.858917
1535591787.721179585,-0.162893,0.5459,2.64053,0.416131,-0.0708072,0.289632,0.859032
1535591787.733136834,-0.162219,0.546802,2.64122,0.415304,-0.0691103,0.291149,0.859057
1535591787.754440686,-0.162739,0.547084,2.6405,0.414629,-0.0697423,0.29447,0.8582
1535591787.765267565,-0.163087,0.548537,2.64159,0.411193,-0.0684288,0.294861,0.859823
1535591787.784318241,-0.163658,0.549061,2.64074,0.408577,-0.070471,0.29462,0.860987
1535591787.811452530,-0.163176,0.547713,2.6375,0.413756,-0.0705585,0.294345,0.858597
1535591787.828498774,-0.161793,0.548055,2.63612,0.416323,-0.0731446,0.299093,0.855493
1535591787.839115209,-0.161768,0.548414,2.63578,0.415142,-0.072417,0.297615,0.856644
1535591787.851852388,-0.162938,0.548536,2.63469,0.417175,-0.0746211,0.300565,0.854434
1535591787.863908984,-0.164369,0.54935,2.63493,0.415688,-0.0778155,0.302619,0.854149
1535591787.878152103,-0.164789,0.549946,2.63384,0.413566,-0.078101,0.300586,0.855869
1535591787.890735277,-0.164989,0.549986,2.6331,0.416614,-0.0794995,0.301912,0.853793
1535591787.909615405,-0.163901,0.550213,2.6316,0.417939,-0.0806598,0.306629,0.851352
1535591787.920566472,-0.164048,0.551071,2.63165,0.417295,-0.0819032,0.309122,0.850647
1535591787.944114203,-0.16607,0.551807,2.62973,0.412969,-0.0885753,0.309127,0.852086
1535591787.963684620,-0.16496,0.552308,2.62819,0.415429,-0.0888112,0.311941,0.849838
1535591787.988015724,-0.166175,0.552625,2.6268,0.414489,-0.0904805,0.3166,0.848397
1535591788.010993566,-0.165046,0.553486,2.62601,0.413383,-0.089171,0.317488,0.848743
1535591788.021258160,-0.165489,0.553295,2.62493,0.413691,-0.0892961,0.320959,0.847273
1535591788.033662744,-0.165258,0.553722,2.62346,0.41393,-0.091394,0.322102,0.846499
1535591788.048354429,-0.1659,0.55391,2.6222,0.41063,-0.0915018,0.320958,0.848526
1535591788.067214586,-0.164825,0.553346,2.62045,0.417763,-0.0889193,0.322925,0.844563
1535591788.082825848,-0.165193,0.553565,2.61869,0.414713,-0.0890433,0.324749,0.845354
1535591788.099276875,-0.167012,0.553763,2.61794,0.411386,-0.0885989,0.327428,0.845992
1535591788.121873364,-0.168971,0.553591,2.61489,0.409576,-0.0907085,0.329251,0.845939
1535591788.142856767,-0.172819,0.55212,2.61244,0.405854,-0.0902556,0.328618,0.848025
1535591788.164288279,-0.175824,0.550381,2.60961,0.408638,-0.0902005,0.328989,0.846549
1535591788.189140277,-0.178352,0.549362,2.60819,0.404238,-0.0913354,0.330149,0.848087
1535591788.195619991,-0.179055,0.547944,2.60582,0.404145,-0.0906639,0.330689,0.847993
1535591788.213864772,-0.182684,0.545991,2.60266,0.407853,-0.0924879,0.335619,0.844074
1535591788.225901342,-0.185917,0.54358,2.59966,0.407352,-0.095495,0.335711,0.843945
1535591788.235780777,-0.18789,0.540921,2.59628,0.410811,-0.0969824,0.335632,0.842128
1535591788.248080695,-0.190871,0.540581,2.59384,0.410641,-0.096258,0.337496,0.841549
1535591788.261130493,-0.19336,0.539514,2.59209,0.40813,-0.0963356,0.33707,0.842931
1535591788.273654506,-0.198466,0.535737,2.58442,0.411773,-0.0948775,0.336076,0.841722
1535591788.299369112,-0.202772,0.534813,2.58257,0.411952,-0.0947408,0.332875,0.84292
1535591788.322723096,-0.208212,0.534983,2.57985,0.40799,-0.0921571,0.330123,0.846209
1535591788.343184852,-0.208256,0.535988,2.57915,0.408581,-0.0907722,0.330444,0.845949
1535591788.355263116,-0.211185,0.535725,2.57781,0.406561,-0.091025,0.331914,0.846319
1535591788.377156661,-0.213415,0.534678,2.57677,0.405803,-0.0914265,0.333167,0.846147
1535591788.386123164,-0.215871,0.531856,2.57257,0.407234,-0.0934699,0.332288,0.845582
1535591788.399486507,-0.221655,0.528327,2.5678,0.410142,-0.0985378,0.336714,0.841842
1535591788.408501851,-0.224792,0.526701,2.56512,0.412703,-0.100673,0.339755,0.839112
1535591788.432039246,-0.232749,0.523725,2.56041,0.407017,-0.104749,0.343869,0.839714
1535591788.453606211,-0.235443,0.524069,2.56001,0.406182,-0.105275,0.346619,0.838921
1535591788.467671959,-0.238682,0.523298,2.55862,0.40417,-0.105333,0.346845,0.839792
1535591788.480067660,-0.241623,0.520716,2.55525,0.403767,-0.105466,0.346534,0.840098
1535591788.496782041,-0.245011,0.518996,2.55304,0.4101,-0.104246,0.34236,0.838892
1535591788.510219171,-0.253083,0.514185,2.54732,0.407686,-0.106709,0.344081,0.839056
1535591788.530292477,-0.255373,0.513026,2.54592,0.409342,-0.105923,0.342734,0.8389
1535591788.545379835,-0.261366,0.509503,2.54121,0.409282,-0.106839,0.348549,0.836414
1535591788.566693039,-0.269816,0.508338,2.53844,0.405583,-0.103615,0.350054,0.837991
1535591788.588624048,-0.274069,0.508883,2.53711,0.406056,-0.102608,0.352044,0.837052
1535591788.611673225,-0.279298,0.509026,2.53592,0.404858,-0.103827,0.350999,0.83792
1535591788.636196432,-0.285196,0.505487,2.5327,0.404354,-0.106928,0.356056,0.835637
1535591788.647570563,-0.289451,0.504966,2.53069,0.402616,-0.109084,0.353264,0.83738
1535591788.659859566,-0.293376,0.503522,2.5299,0.403838,-0.111553,0.356368,0.835149
1535591788.668662704,-0.294789,0.502537,2.52774,0.402869,-0.111375,0.357327,0.83523
1535591788.688124469,-0.297725,0.501945,2.52666,0.404216,-0.111066,0.363322,0.832028
1535591788.703606938,-0.303606,0.499539,2.52378,0.404398,-0.11008,0.360503,0.833296
1535591788.717278840,-0.308026,0.498545,2.52102,0.405062,-0.113406,0.362654,0.831593
1535591788.731435081,-0.31644,0.494238,2.51618,0.409256,-0.112268,0.361084,0.830376
1535591788.757916169,-0.319917,0.493031,2.51605,0.409503,-0.114177,0.364659,0.82843
1535591788.766941826,-0.323501,0.49218,2.51583,0.410105,-0.112391,0.362949,0.829126
1535591788.779468397,-0.326322,0.49203,2.51481,0.40707,-0.114717,0.364872,0.829459
1535591788.807468821,-0.331443,0.489894,2.51382,0.407298,-0.111551,0.366758,0.828947
1535591788.819049868,-0.333313,0.489561,2.51359,0.40755,-0.11025,0.36763,0.828611
1535591788.831416980,-0.336568,0.488702,2.51313,0.405547,-0.108457,0.368964,0.829237
1535591788.852069706,-0.343705,0.485533,2.51253,0.404047,-0.109431,0.373282,0.827908
1535591788.869426690,-0.352488,0.483256,2.51353,0.399302,-0.106983,0.375285,0.829623
1535591788.890357970,-0.358805,0.480233,2.51254,0.399086,-0.105225,0.380539,0.827556
1535591788.913612089,-0.365476,0.476205,2.51211,0.399678,-0.100353,0.377817,0.829121
1535591788.935539673,-0.374767,0.471854,2.51131,0.398732,-0.100687,0.380584,0.82827
1535591788.959076380,-0.385744,0.469927,2.51106,0.395136,-0.10086,0.378244,0.83104
1535591788.979152808,-0.390807,0.469481,2.51071,0.393559,-0.103732,0.376685,0.832142
1535591788.991915486,-0.395202,0.468417,2.5102,0.392997,-0.103775,0.375232,0.833058
1535591789.010104951,-0.39946,0.46638,2.50911,0.392946,-0.105889,0.373678,0.833515
1535591789.026463219,-0.407093,0.466232,2.50857,0.392497,-0.109475,0.370961,0.834476
1535591789.036175046,-0.411414,0.464025,2.50645,0.396138,-0.113712,0.366738,0.834055
1535591789.049856247,-0.415952,0.463474,2.50551,0.397005,-0.117132,0.368936,0.832198
1535591789.071010846,-0.429252,0.46231,2.5041,0.392623,-0.125171,0.367019,0.833952
1535591789.092305209,-0.433365,0.464011,2.504,0.393231,-0.124687,0.365253,0.834514
1535591789.106757115,-0.437184,0.463359,2.5025,0.393757,-0.128778,0.364302,0.83406
1535591789.118242618,-0.440738,0.463274,2.50136,0.3966,-0.13162,0.36463,0.832124
1535591789.130138524,-0.443682,0.463725,2.50096,0.398431,-0.130496,0.36276,0.832244
1535591789.144536326,-0.448163,0.463729,2.50091,0.396315,-0.131621,0.362499,0.83319
1535591789.166505856,-0.45691,0.464048,2.49946,0.396061,-0.133251,0.367224,0.830979
1535591789.177456265,-0.460475,0.463978,2.49934,0.396758,-0.134545,0.366144,0.830915
1535591789.193065240,-0.464862,0.46472,2.50057,0.394182,-0.131111,0.365622,0.832918
1535591789.215097189,-0.471674,0.462669,2.49977,0.394733,-0.131185,0.365069,0.832887
1535591789.235914252,-0.477035,0.461801,2.5006,0.397452,-0.126779,0.36334,0.833032
1535591789.258797881,-0.481301,0.461396,2.50184,0.397104,-0.124851,0.365226,0.832665
1535591789.268863880,-0.482853,0.461197,2.50272,0.394095,-0.126532,0.36397,0.834389
1535591789.280445405,-0.486278,0.461277,2.50332,0.389132,-0.127861,0.362081,0.837332
1535591789.292450570,-0.489443,0.460571,2.50288,0.390118,-0.130499,0.363393,0.835897
1535591789.308456675,-0.4946,0.458834,2.50259,0.389001,-0.130586,0.363875,0.836194
1535591789.326849848,-0.499088,0.457277,2.50248,0.388467,-0.131792,0.360999,0.837499
1535591789.340225469,-0.50097,0.455989,2.503,0.389733,-0.131086,0.365044,0.835265
1535591789.349415279,-0.502985,0.45603,2.50383,0.389621,-0.130914,0.365343,0.835214
1535591789.373579103,-0.509585,0.455989,2.50789,0.383561,-0.130012,0.363433,0.838984
1535591789.392202706,-0.509789,0.458721,2.51275,0.381045,-0.125646,0.361575,0.841595
1535591789.414939565,-0.511772,0.457311,2.51384,0.380219,-0.125042,0.365003,0.840578
1535591789.442904130,-0.514432,0.45493,2.51402,0.37916,-0.124738,0.367553,0.83999
1535591789.451787223,-0.514602,0.454524,2.51393,0.380862,-0.125295,0.368186,0.838859
1535591789.467954122,-0.516745,0.453925,2.51396,0.380933,-0.12429,0.369027,0.838607
1535591789.487487157,-0.519869,0.45368,2.51569,0.376575,-0.123969,0.373517,0.838635
1535591789.506271147,-0.523262,0.452265,2.51504,0.378084,-0.123956,0.372942,0.838213
1535591789.527029567,-0.52596,0.452739,2.51585,0.372091,-0.124037,0.375659,0.839669
1535591789.549818399,-0.53077,0.448886,2.51336,0.38138,-0.124598,0.366889,0.839296
1535591789.574063494,-0.532991,0.448989,2.51281,0.379783,-0.125478,0.367082,0.839805
1535591789.593015466,-0.535556,0.449542,2.51423,0.37688,-0.126702,0.369926,0.83968
1535591789.603539670,-0.535401,0.449703,2.51435,0.376887,-0.128118,0.371534,0.838752
1535591789.628100524,-0.536183,0.451561,2.51819,0.372756,-0.124473,0.375404,0.839423
1535591789.653653817,-0.535189,0.452905,2.52024,0.37273,-0.120307,0.37251,0.841329
1535591789.675245838,-0.535192,0.451564,2.51946,0.373715,-0.121645,0.374214,0.839943
1535591789.694337631,-0.537233,0.452604,2.52086,0.370357,-0.120342,0.375934,0.84085
1535591789.718292336,-0.539816,0.449029,2.518,0.373182,-0.128475,0.382977,0.835199
1535591789.740455811,-0.542376,0.445209,2.51488,0.375172,-0.133674,0.39056,0.829964
1535591789.759930173,-0.543724,0.442467,2.51275,0.375393,-0.14147,0.398159,0.824946
1535591789.785676942,-0.54542,0.442781,2.51193,0.379113,-0.141216,0.391663,0.826397
1535591789.806529533,-0.545039,0.442986,2.51332,0.374225,-0.135152,0.389534,0.830634
1535591789.826993956,-0.543318,0.442081,2.51413,0.380218,-0.133236,0.389128,0.828409
1535591789.852171980,-0.543748,0.442592,2.51551,0.377877,-0.131189,0.389424,0.829668
