time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535563860.215523079,-0.398516,-0.270159,0.0299545,0.309199,-0.406505,0.828471,-0.229751,-0.829077,-1.85792,2.12536,-0.257196,-0.970121,-1.14013,-0.73981
1535563860.237072962,-0.398463,-0.270305,0.0300814,0.309234,-0.406499,0.828478,-0.229688,-0.829346,-1.85765,2.12523,-0.257148,-0.970137,-1.14054,-0.739786
1535563860.256300094,-0.398358,-0.270598,0.0303351,0.309304,-0.406486,0.828494,-0.229561,-0.829884,-1.85711,2.12499,-0.257051,-0.970168,-1.14137,-0.739738
1535563860.276658394,-0.398199,-0.271037,0.0307153,0.309408,-0.406467,0.828517,-0.229371,-0.830691,-1.8563,2.12463,-0.256905,-0.970214,-1.1426,-0.739666
1535563860.297068766,-0.397987,-0.271621,0.0312219,0.309546,-0.406441,0.828548,-0.229119,-0.831765,-1.85522,2.12414,-0.256711,-0.970276,-1.14425,-0.73957
1535563860.319203084,-0.39772,-0.272349,0.0318545,0.309717,-0.406407,0.828588,-0.228804,-0.833105,-1.85387,2.12354,-0.25647,-0.970353,-1.14631,-0.73945
1535563860.337887465,-0.397398,-0.27322,0.0326125,0.30992,-0.406365,0.828636,-0.228428,-0.834711,-1.85226,2.12281,-0.25618,-0.970446,-1.14878,-0.739306
1535563860.358213065,-0.397019,-0.274232,0.0334954,0.310154,-0.406314,0.828694,-0.227991,-0.83658,-1.85038,2.12197,-0.255842,-0.970553,-1.15165,-0.739139
1535563860.379384803,-0.396583,-0.275385,0.0345025,0.310418,-0.406253,0.828762,-0.227494,-0.838712,-1.84824,2.12101,-0.255458,-0.970676,-1.15492,-0.738949
1535563860.399323228,-0.396087,-0.276676,0.0356332,0.310711,-0.406181,0.82884,-0.226937,-0.841102,-1.84584,2.11993,-0.255027,-0.970813,-1.1586,-0.738735
1535563860.420409835,-0.39553,-0.278102,0.0368864,0.31103,-0.406096,0.828929,-0.226322,-0.84375,-1.84318,2.11874,-0.254549,-0.970966,-1.16266,-0.738499
1535563860.441118051,-0.394911,-0.279663,0.0382613,0.311375,-0.405998,0.829031,-0.225651,-0.846653,-1.84026,2.11743,-0.254025,-0.971133,-1.16712,-0.738239
1535563860.460402385,-0.394228,-0.281354,0.0397567,0.311743,-0.405886,0.829146,-0.224924,-0.849808,-1.83709,2.116,-0.253456,-0.971315,-1.17197,-0.737958
1535563860.481062616,-0.393479,-0.283173,0.0413716,0.312131,-0.405757,0.829274,-0.224142,-0.853211,-1.83367,2.11447,-0.252842,-0.97151,-1.17719,-0.737654
1535563860.502650467,-0.392662,-0.285118,0.0431046,0.312539,-0.405611,0.829417,-0.223308,-0.85686,-1.83001,2.11282,-0.252183,-0.97172,-1.1828,-0.737328
1535563860.522009198,-0.391774,-0.287185,0.0449543,0.312963,-0.405446,0.829575,-0.222423,-0.86075,-1.8261,2.11107,-0.251481,-0.971944,-1.18877,-0.73698
1535563860.544027951,-0.390814,-0.28937,0.0469194,0.313402,-0.40526,0.82975,-0.221489,-0.864878,-1.82195,2.1092,-0.250736,-0.972182,-1.19511,-0.736611
1535563860.564284147,-0.38978,-0.291669,0.0489981,0.313852,-0.405052,0.829943,-0.220508,-0.869241,-1.81757,2.10724,-0.249949,-0.972433,-1.20181,-0.736221
1535563860.584141751,-0.388669,-0.29408,0.0511888,0.314311,-0.404821,0.830155,-0.219482,-0.873832,-1.81296,2.10516,-0.24912,-0.972697,-1.20886,-0.735811
1535563860.604632242,-0.38748,-0.296597,0.0534896,0.314777,-0.404563,0.830385,-0.218412,-0.878649,-1.80812,2.10299,-0.248251,-0.972975,-1.21626,-0.735381
1535563860.624085283,-0.38621,-0.299216,0.0558987,0.315246,-0.404279,0.830637,-0.217302,-0.883686,-1.80306,2.10072,-0.247342,-0.973264,-1.224,-0.734931
1535563860.644634582,-0.384856,-0.301933,0.058414,0.315716,-0.403967,0.83091,-0.216153,-0.888938,-1.79778,2.09835,-0.246395,-0.973567,-1.23206,-0.734461
1535563860.664989164,-0.383418,-0.304743,0.0610334,0.316183,-0.403625,0.831206,-0.214969,-0.8944,-1.7923,2.09589,-0.245409,-0.973881,-1.24045,-0.733973
1535563860.685368630,-0.381893,-0.307641,0.0637546,0.316645,-0.403251,0.831526,-0.213752,-0.900067,-1.7866,2.09333,-0.244386,-0.974207,-1.24916,-0.733467
1535563860.706610679,-0.380279,-0.310621,0.0665752,0.317099,-0.402844,0.83187,-0.212504,-0.905933,-1.78071,2.09068,-0.243328,-0.974545,-1.25817,-0.732943
1535563860.726404626,-0.378574,-0.313679,0.0694927,0.317541,-0.402403,0.832239,-0.211229,-0.911993,-1.77462,2.08795,-0.242234,-0.974894,-1.26747,-0.732402
1535563860.746592036,-0.376778,-0.31681,0.0725046,0.317969,-0.401927,0.832635,-0.209929,-0.91824,-1.76835,2.08513,-0.241107,-0.975253,-1.27707,-0.731843
1535563860.768330497,-0.374887,-0.320006,0.0756082,0.318379,-0.401414,0.833057,-0.208607,-0.924668,-1.76189,2.08223,-0.239947,-0.975623,-1.28694,-0.731269
