time,x,y,z,qx,qy,qz,qw
1535563857.918639561,0.197474,0.483354,3.04763,0.336881,0.0860547,-0.370458,0.861317
1535563857.940415091,0.198602,0.483727,3.04762,0.336221,0.0858227,-0.370962,0.861381
1535563857.961574162,0.19931,0.483402,3.04623,0.338294,0.0863538,-0.369018,0.861352
1535563857.983129424,0.198978,0.48428,3.04635,0.335322,0.0875503,-0.36949,0.86219
1535563858.017675487,0.199523,0.484971,3.04685,0.334898,0.0854595,-0.371615,0.861651
1535563858.035710386,0.200802,0.483907,3.046,0.336696,0.087961,-0.369491,0.861612
1535563858.049539665,0.200478,0.483999,3.0461,0.336438,0.0872935,-0.370616,0.861298
1535563858.072921256,0.200007,0.484107,3.04677,0.335782,0.0873241,-0.370552,0.861578
1535563858.096714303,0.198949,0.484073,3.04715,0.337037,0.0864528,-0.371647,0.860704
1535563858.115111696,0.199032,0.483784,3.04666,0.337402,0.0861805,-0.370686,0.861002
1535563858.139410801,0.199235,0.484079,3.0471,0.337388,0.0865741,-0.370441,0.861074
1535563858.162562181,0.19891,0.484283,3.04717,0.337104,0.0861228,-0.370495,0.861207
1535563858.183933100,0.199542,0.4847,3.04766,0.335951,0.0877759,-0.369503,0.861916
1535563858.205091120,0.198684,0.485008,3.04745,0.336531,0.0856068,-0.372126,0.860779
1535563858.229735991,0.199634,0.484372,3.04675,0.336488,0.0863283,-0.370653,0.861359
1535563858.249314307,0.20021,0.484268,3.04643,0.336398,0.0867504,-0.370929,0.861233
1535563858.273843232,0.200802,0.483981,3.04624,0.335812,0.0876222,-0.370572,0.861527
1535563858.298476707,0.199226,0.484291,3.04652,0.336918,0.086201,-0.371169,0.860982
1535563858.317331139,0.198945,0.484376,3.04657,0.336118,0.0858899,-0.371409,0.861222
1535563858.341943700,0.199681,0.483967,3.04651,0.337124,0.0870709,-0.370938,0.860913
1535563858.362989785,0.19994,0.483849,3.04677,0.336146,0.0871552,-0.37109,0.861221
1535563858.385201488,0.200071,0.483799,3.04682,0.338668,0.0862378,-0.3696,0.860966
1535563858.405978804,0.198565,0.484739,3.04702,0.33674,0.0859142,-0.370563,0.861341
1535563858.434743190,0.198795,0.48486,3.0472,0.336535,0.08523,-0.371453,0.861106
1535563858.451015759,0.199718,0.484162,3.04661,0.337242,0.0867411,-0.370424,0.861121
1535563858.475195002,0.200192,0.484162,3.04674,0.336316,0.0869544,-0.370914,0.861251
1535563858.497734754,0.199594,0.484178,3.04667,0.33616,0.0865714,-0.371316,0.861178
1535563858.518871644,0.199351,0.484042,3.0466,0.336776,0.0863839,-0.371338,0.860946
1535563858.543254677,0.2,0.483777,3.04661,0.336938,0.0869087,-0.371027,0.860964
1535563858.552556658,0.199937,0.483844,3.04648,0.336228,0.0873305,-0.371276,0.861092
1535563858.563374689,0.199975,0.484249,3.04691,0.336278,0.0868868,-0.371291,0.861111
1535563858.586664297,0.199714,0.483651,3.04652,0.335892,0.0866589,-0.371044,0.86139
1535563858.609245327,0.199309,0.484166,3.04693,0.334714,0.0875316,-0.37063,0.861939
1535563858.630390970,0.198625,0.484117,3.04721,0.335756,0.0856648,-0.372901,0.860741
1535563858.649111561,0.198515,0.483934,3.04696,0.336695,0.0853154,-0.371917,0.860834
1535563858.663356406,0.199157,0.483038,3.04703,0.337187,0.0866573,-0.371615,0.860638
1535563858.685253518,0.199607,0.482736,3.04699,0.336894,0.0866111,-0.371614,0.860758
1535563858.711470844,0.198488,0.483261,3.04715,0.336661,0.085795,-0.372451,0.860569
1535563858.730815347,0.198562,0.483499,3.04718,0.336791,0.0853679,-0.372819,0.860401
1535563858.751911573,0.199455,0.483202,3.04691,0.336396,0.0869239,-0.371417,0.861006
1535563858.778591359,0.199525,0.483761,3.04715,0.336374,0.0865991,-0.371829,0.86087
1535563858.799544503,0.199507,0.483319,3.04629,0.337171,0.0862182,-0.370939,0.86098
1535563858.820075452,0.199029,0.48382,3.04643,0.33502,0.087439,-0.370858,0.861731
1535563858.845259763,0.199039,0.484141,3.04693,0.33557,0.0860765,-0.372842,0.860798
1535563858.863977483,0.199372,0.483445,3.04656,0.336799,0.0868401,-0.371813,0.860686
1535563858.888345499,0.199542,0.483375,3.04664,0.336271,0.0869451,-0.372067,0.860773
1535563858.909524756,0.199243,0.483275,3.04711,0.336573,0.0870717,-0.371691,0.860804
1535563858.934769392,0.198259,0.483375,3.04737,0.336714,0.0857702,-0.372936,0.860341
1535563858.953975152,0.198826,0.483201,3.04697,0.337516,0.0855677,-0.372115,0.860402
1535563858.976483730,0.199156,0.48346,3.04725,0.336815,0.0867354,-0.371939,0.860636
1535563858.999241676,0.1986,0.483655,3.04752,0.335541,0.0860902,-0.372611,0.860908
1535563859.022736810,0.199037,0.483676,3.04766,0.336602,0.0863571,-0.371758,0.860836
1535563859.043369168,0.198185,0.483297,3.04787,0.335537,0.0852311,-0.37475,0.860066
1535563859.068054605,0.198913,0.481865,3.04678,0.337211,0.0858141,-0.37296,0.860132
1535563859.089709476,0.199235,0.481825,3.04682,0.336216,0.0863853,-0.373322,0.860307
1535563859.111294795,0.19888,0.481806,3.04687,0.336679,0.0861186,-0.373377,0.860128
1535563859.132675466,0.19713,0.482524,3.04706,0.336681,0.0852002,-0.373929,0.859979
1535563859.156256743,0.197205,0.483079,3.04736,0.336446,0.0847477,-0.373818,0.860164
1535563859.178112359,0.198517,0.482793,3.04735,0.336072,0.0866512,-0.372678,0.860615
1535563859.200881510,0.198581,0.483302,3.04739,0.336126,0.0861261,-0.372558,0.860699
1535563859.222878606,0.19889,0.483265,3.04717,0.337733,0.0854747,-0.371196,0.860723
1535563859.246977286,0.197851,0.483847,3.04739,0.337077,0.0850219,-0.373812,0.859892
1535563859.267393590,0.198066,0.48382,3.04719,0.335677,0.0846222,-0.37344,0.860641
1535563859.290111965,0.198933,0.482669,3.04666,0.33651,0.0866075,-0.372406,0.860566
1535563859.312428055,0.199224,0.482244,3.04666,0.336632,0.0859812,-0.373539,0.86009
1535563859.333383143,0.198431,0.482394,3.04702,0.336533,0.0862052,-0.373233,0.86024
1535563859.359062655,0.197909,0.482278,3.04722,0.337008,0.0851673,-0.373986,0.85983
1535563859.378124301,0.198165,0.482324,3.04695,0.336994,0.0858119,-0.373066,0.86017
1535563859.387332946,0.19817,0.482479,3.0468,0.336683,0.0862714,-0.373059,0.86025
1535563859.410167304,0.198188,0.482749,3.04731,0.336513,0.0858564,-0.372947,0.860406
1535563859.435304489,0.198754,0.482797,3.04738,0.33817,0.0855527,-0.371563,0.860386
1535563859.462686565,0.19732,0.483596,3.04762,0.336779,0.084933,-0.372812,0.860452
1535563859.479278090,0.198005,0.483535,3.04761,0.336007,0.0850274,-0.372861,0.860723
1535563859.490787687,0.198591,0.482961,3.04717,0.336396,0.0858359,-0.37253,0.860634
1535563859.498207219,0.198808,0.482955,3.04734,0.33684,0.0860379,-0.372186,0.860589
1535563859.510191163,0.198774,0.482751,3.04744,0.336081,0.0859328,-0.373073,0.860513
1535563859.526010389,0.199198,0.482273,3.04715,0.336139,0.0861813,-0.372717,0.860619
1535563859.533338668,0.19895,0.482333,3.04726,0.336228,0.0866237,-0.372582,0.860599
1535563859.546449832,0.198801,0.482282,3.04722,0.336407,0.0861445,-0.372909,0.860435
1535563859.555196904,0.19832,0.482306,3.04731,0.336761,0.0855017,-0.373455,0.860124
1535563859.569353207,0.198096,0.482423,3.0473,0.336762,0.0855066,-0.373254,0.860211
1535563859.594487508,0.198693,0.482011,3.04703,0.336943,0.0861307,-0.372882,0.860239
1535563859.610193797,0.198432,0.482179,3.04709,0.336876,0.0862358,-0.373002,0.860202
1535563859.619222305,0.198698,0.482247,3.04721,0.336731,0.0862183,-0.37326,0.860149
1535563859.630525508,0.198427,0.482348,3.04706,0.336619,0.0863063,-0.372841,0.860365
1535563859.644893845,0.198655,0.482568,3.0473,0.337864,0.0863116,-0.371511,0.860452
1535563859.669082139,0.197161,0.483251,3.04744,0.337545,0.0845598,-0.373652,0.859824
1535563859.695409671,0.197599,0.483254,3.04702,0.336055,0.0851701,-0.372484,0.860854
1535563859.713284598,0.198402,0.482926,3.0473,0.336408,0.086353,-0.372395,0.860637
1535563859.735898475,0.199046,0.482479,3.04738,0.33646,0.086007,-0.372791,0.860479
1535563859.761131905,0.197936,0.482356,3.04723,0.33689,0.0855288,-0.373058,0.860243
1535563859.779309196,0.19797,0.482406,3.04723,0.33668,0.0853937,-0.373267,0.860248
