time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535564706.894684704,-0.171374,-0.455408,0.280659,-0.0699044,0.334438,-0.768629,0.540808,-1.26649,-1.27748,1.28677,-0.247841,-0.65712,-1.93682,0.0319238
1535564706.913748957,-0.168912,-0.455816,0.28271,-0.0683376,0.333108,-0.768616,0.541847,-1.27081,-1.27395,1.28457,-0.24599,-0.659219,-1.94418,0.0326466
1535564706.934758799,-0.16659,-0.456181,0.284642,-0.0668501,0.331855,-0.768586,0.542843,-1.27487,-1.27062,1.2825,-0.244246,-0.661196,-1.95113,0.0333277
1535564706.954707712,-0.16441,-0.456507,0.286454,-0.0654457,0.330681,-0.768542,0.543793,-1.27869,-1.2675,1.28056,-0.24261,-0.66305,-1.95764,0.0339664
1535564706.974834915,-0.162375,-0.456796,0.288144,-0.0641274,0.329585,-0.768486,0.544692,-1.28225,-1.26459,1.27875,-0.241084,-0.66478,-1.96371,0.0345622
1535564706.995409727,-0.160487,-0.457051,0.289711,-0.0628985,0.328571,-0.768423,0.545537,-1.28555,-1.26189,1.27707,-0.239669,-0.666383,-1.96934,0.0351145
1535564707.015845999,-0.15875,-0.457275,0.291152,-0.0617618,0.327638,-0.768355,0.546324,-1.28858,-1.2594,1.27553,-0.238368,-0.667858,-1.97452,0.0356227
1535564707.036201922,-0.157163,-0.45747,0.292467,-0.0607199,0.326788,-0.768284,0.54705,-1.29135,-1.25714,1.27412,-0.23718,-0.669204,-1.97925,0.0360863
1535564707.058353291,-0.155731,-0.457638,0.293655,-0.0597753,0.32602,-0.768212,0.547712,-1.29385,-1.25509,1.27284,-0.236108,-0.670419,-1.98351,0.0365049
1535564707.079031166,-0.154453,-0.457783,0.294713,-0.0589301,0.325337,-0.768143,0.548307,-1.29608,-1.25327,1.27171,-0.235153,-0.671502,-1.98731,0.0368779
1535564707.098355385,-0.153332,-0.457905,0.295641,-0.0581863,0.324737,-0.768077,0.548833,-1.29804,-1.25167,1.27072,-0.234314,-0.672452,-1.99065,0.0372052
1535564707.120277355,-0.152369,-0.458006,0.296439,-0.0575456,0.324223,-0.768018,0.549288,-1.29972,-1.2503,1.26986,-0.233594,-0.673269,-1.99352,0.0374863
1535564707.138441010,-0.151565,-0.458088,0.297104,-0.0570094,0.323793,-0.767965,0.54967,-1.30112,-1.24915,1.26915,-0.232993,-0.67395,-1.99591,0.037721
1535564707.158535816,-0.150921,-0.458153,0.297637,-0.056579,0.32345,-0.767922,0.549977,-1.30224,-1.24823,1.26858,-0.232512,-0.674496,-1.99782,0.037909
1535564707.178961883,-0.150437,-0.4582,0.298038,-0.0562553,0.323191,-0.767889,0.550209,-1.30308,-1.24754,1.26815,-0.23215,-0.674906,-1.99926,0.0380502
1535564707.199459117,-0.150114,-0.458231,0.298305,-0.0560392,0.323019,-0.767866,0.550364,-1.30365,-1.24708,1.26786,-0.231909,-0.675179,-2.00022,0.0381444
1535564707.220000718,-0.149952,-0.458247,0.298439,-0.0559309,0.322933,-0.767854,0.550441,-1.30393,-1.24685,1.26772,-0.231788,-0.675316,-2.0007,0.0381916
1535564707.240943608,-0.149952,-0.458247,0.298439,-0.0559309,0.322933,-0.767854,0.550441,-1.30393,-1.24685,1.26772,-0.231788,-0.675316,-2.0007,0.0381916
1535564707.262740208,-0.149951,-0.458238,0.298476,-0.055905,0.322905,-0.767861,0.550451,-1.3039,-1.24675,1.26765,-0.231842,-0.675332,-2.00076,0.0382112
1535564707.281270269,-0.150099,-0.458154,0.298638,-0.055806,0.322767,-0.767928,0.550449,-1.30339,-1.24613,1.26727,-0.232398,-0.675324,-2.00073,0.0383214
1535564707.302742726,-0.150394,-0.457985,0.298964,-0.0556088,0.32249,-0.76806,0.550446,-1.30238,-1.24488,1.26649,-0.233508,-0.675307,-2.00066,0.0385416
1535564707.322387289,-0.150836,-0.457731,0.299452,-0.055315,0.322075,-0.768258,0.550443,-1.30086,-1.24302,1.26534,-0.235172,-0.675282,-2.00056,0.0388717
1535564707.342707663,-0.151422,-0.457391,0.300102,-0.0549272,0.321523,-0.76852,0.550439,-1.29883,-1.24055,1.2638,-0.237388,-0.675249,-2.00042,0.0393113
1535564707.363712269,-0.152151,-0.456964,0.300914,-0.0544486,0.320835,-0.768844,0.550436,-1.29631,-1.23746,1.26187,-0.240155,-0.675208,-2.00025,0.0398599
1535564707.383481177,-0.153019,-0.456449,0.301887,-0.0538833,0.32001,-0.769228,0.550435,-1.29328,-1.23375,1.25957,-0.243468,-0.675158,-2.00004,0.0405171
1535564707.404067360,-0.154022,-0.455845,0.303021,-0.0532363,0.31905,-0.76967,0.550437,-1.28975,-1.22944,1.25689,-0.247325,-0.675101,-1.99981,0.0412822
1535564707.425047312,-0.155156,-0.45515,0.304315,-0.052513,0.317958,-0.770167,0.550444,-1.28574,-1.22453,1.25383,-0.251723,-0.675035,-1.99954,0.0421545
1535564707.446709130,-0.156418,-0.454362,0.305767,-0.0517199,0.316733,-0.770716,0.550456,-1.28123,-1.21901,1.25041,-0.256656,-0.674961,-1.99923,0.043133
1535564707.464999182,-0.157801,-0.45348,0.307378,-0.0508641,0.315378,-0.771314,0.550477,-1.27624,-1.21291,1.24661,-0.26212,-0.674879,-1.9989,0.0442168
1535564707.487918250,-0.159299,-0.4525,0.309146,-0.0499533,0.313896,-0.771956,0.550507,-1.27076,-1.20621,1.24245,-0.26811,-0.67479,-1.99853,0.0454048
1535564707.505492231,-0.160907,-0.451423,0.311069,-0.048996,0.312289,-0.772638,0.55055,-1.26482,-1.19894,1.23792,-0.274619,-0.674693,-1.99813,0.046696
1535564707.525780677,-0.162618,-0.450244,0.313146,-0.048001,0.31056,-0.773357,0.550606,-1.2584,-1.19109,1.23304,-0.281641,-0.674588,-1.9977,0.0480889
1535564707.547455875,-0.164423,-0.448962,0.315376,-0.046978,0.308712,-0.774108,0.550678,-1.25152,-1.18267,1.22781,-0.28917,-0.674475,-1.99723,0.0495822
1535564707.566938677,-0.166317,-0.447574,0.317756,-0.045937,0.30675,-0.774885,0.550769,-1.24418,-1.1737,1.22223,-0.297198,-0.674355,-1.99674,0.0511745
1535564707.587098270,-0.168289,-0.446079,0.320285,-0.0448885,0.304679,-0.775684,0.550881,-1.2364,-1.16418,1.21631,-0.305716,-0.674228,-1.99621,0.0528642
1535564707.607617618,-0.170333,-0.444474,0.322961,-0.0438433,0.302502,-0.7765,0.551015,-1.22818,-1.15412,1.21005,-0.314717,-0.674093,-1.99566,0.0546495
1535564707.628250375,-0.172438,-0.442758,0.325781,-0.0428128,0.300226,-0.777328,0.551174,-1.21952,-1.14353,1.20347,-0.324192,-0.673952,-1.99508,0.0565288
1535564707.649061498,-0.174595,-0.440927,0.328742,-0.0418084,0.297856,-0.778161,0.551361,-1.21044,-1.13242,1.19656,-0.334131,-0.673803,-1.99447,0.0585002
1535564707.669042160,-0.176794,-0.438981,0.331843,-0.0408417,0.295401,-0.778995,0.551576,-1.20094,-1.1208,1.18934,-0.344525,-0.673648,-1.99383,0.0605618
1535564707.691211161,-0.179026,-0.436918,0.335078,-0.0399244,0.292867,-0.779825,0.551823,-1.19104,-1.10869,1.18181,-0.355362,-0.673486,-1.99316,0.0627114
1535564707.710529900,-0.181279,-0.434736,0.338446,-0.0390685,0.290262,-0.780643,0.552103,-1.18074,-1.09609,1.17397,-0.366633,-0.673317,-1.99247,0.0649471
1535564707.731164363,-0.183545,-0.432434,0.341942,-0.0382856,0.287596,-0.781446,0.552417,-1.17006,-1.08302,1.16585,-0.378327,-0.673143,-1.99175,0.0672665
1535564707.750244757,-0.185811,-0.430011,0.345562,-0.0375874,0.284878,-0.782228,0.552767,-1.159,-1.06949,1.15744,-0.390431,-0.672962,-1.991,0.0696674
1535564707.770267923,-0.188066,-0.427468,0.349303,-0.0369851,0.282117,-0.782983,0.553154,-1.14757,-1.05552,1.14875,-0.402935,-0.672775,-1.99023,0.0721474
1535564707.791040147,-0.190301,-0.424803,0.353158,-0.0364899,0.279326,-0.783707,0.553579,-1.1358,-1.04111,1.13979,-0.415825,-0.672582,-1.98944,0.0747042
1535564707.811013968,-0.192503,-0.422017,0.357124,-0.0361123,0.276515,-0.784393,0.554042,-1.12368,-1.02629,1.13057,-0.429088,-0.672384,-1.98862,0.077335
1535564707.831742787,-0.194662,-0.41911,0.361194,-0.0358626,0.273697,-0.785037,0.554545,-1.11123,-1.01106,1.1211,-0.442713,-0.67218,-1.98778,0.0800375
1535564707.852022206,-0.196766,-0.416084,0.365363,-0.0357501,0.270885,-0.785635,0.555087,-1.09846,-0.995442,1.11139,-0.456685,-0.671971,-1.98692,0.0828088
1535564707.872096685,-0.198805,-0.41294,0.369625,-0.0357839,0.268091,-0.786181,0.555667,-1.08539,-0.979453,1.10145,-0.47099,-0.671758,-1.98604,0.0856462
1535564707.894937075,-0.200768,-0.40968,0.373973,-0.035972,0.26533,-0.786672,0.556286,-1.07203,-0.963107,1.09128,-0.485615,-0.671539,-1.98514,0.0885471
1535564707.913933357,-0.202643,-0.406306,0.378399,-0.0363216,0.262616,-0.787102,0.556942,-1.05839,-0.94642,1.08091,-0.500544,-0.671316,-1.98422,0.0915084
1535564707.933760675,-0.204422,-0.402821,0.382897,-0.0368391,0.259962,-0.787469,0.557634,-1.04448,-0.929409,1.07033,-0.515764,-0.671088,-1.98329,0.0945273
1535564707.953789164,-0.206094,-0.39923,0.387459,-0.0375299,0.257385,-0.787768,0.55836,-1.03032,-0.91209,1.05956,-0.531259,-0.670857,-1.98233,0.0976007
1535564707.974445362,-0.207648,-0.395535,0.392075,-0.0383982,0.254899,-0.787997,0.559118,-1.01593,-0.89448,1.04861,-0.547015,-0.670621,-1.98137,0.100726
1535564707.994769323,-0.209076,-0.391741,0.396739,-0.0394472,0.252519,-0.788152,0.559906,-1.00131,-0.876598,1.03749,-0.563014,-0.670382,-1.98038,0.103899
1535564708.015773424,-0.21037,-0.387854,0.40144,-0.0406791,0.250261,-0.78823,0.560721,-0.98648,-0.85846,1.02622,-0.579242,-0.67014,-1.97938,0.107118
1535564708.035450130,-0.211521,-0.38388,0.406169,-0.0420946,0.248138,-0.788229,0.561561,-0.971458,-0.840084,1.01479,-0.595683,-0.669894,-1.97837,0.110379
