time,x,y,z,qx,qy,qz,qw
1535564706.895382148,0.230885,0.614518,2.83529,0.329193,0.20802,-0.690757,0.609274
1535564706.920611371,0.23136,0.618559,2.82858,0.330118,0.20803,-0.688504,0.611317
1535564706.941717398,0.234315,0.621801,2.82296,0.325507,0.219141,-0.685468,0.613316
1535564706.962424163,0.235339,0.624532,2.8168,0.327676,0.21973,-0.684885,0.612601
1535564706.986871565,0.237113,0.628322,2.81356,0.321206,0.222774,-0.688542,0.610826
1535564707.010136471,0.237457,0.629667,2.80779,0.325987,0.223642,-0.687519,0.609126
1535564707.029273931,0.237308,0.63312,2.80481,0.327188,0.224289,-0.690049,0.605372
1535564707.053751929,0.236809,0.635964,2.80071,0.325043,0.224599,-0.687117,0.609732
1535564707.077803421,0.23655,0.635204,2.79963,0.326186,0.223974,-0.689901,0.606197
1535564707.083082007,0.237487,0.636258,2.79853,0.32421,0.224956,-0.690469,0.606247
1535564707.096976747,0.236877,0.636566,2.7967,0.325472,0.224517,-0.690972,0.60516
1535564707.119974401,0.236746,0.638645,2.79396,0.326287,0.223347,-0.690496,0.605697
1535564707.141982514,0.23704,0.637973,2.79333,0.324613,0.224084,-0.691775,0.604864
1535564707.151466623,0.237273,0.638243,2.79208,0.324896,0.224337,-0.69172,0.604682
1535564707.163626789,0.236357,0.638154,2.79172,0.32662,0.224719,-0.6949,0.599946
1535564707.187008868,0.233999,0.639229,2.7909,0.329167,0.221545,-0.698288,0.595786
1535564707.195615801,0.233766,0.639466,2.79031,0.328033,0.221752,-0.699222,0.595238
1535564707.209102751,0.2337,0.638875,2.78915,0.328785,0.222709,-0.699889,0.593681
1535564707.227022361,0.233565,0.639237,2.78842,0.32907,0.225227,-0.698904,0.593734
1535564707.238872644,0.231841,0.640977,2.78777,0.333942,0.21928,-0.695137,0.597649
1535564707.266001865,0.232913,0.643266,2.78853,0.329505,0.219391,-0.694461,0.600848
1535564707.287089722,0.232453,0.643716,2.78704,0.332158,0.219169,-0.696965,0.596554
1535564707.311664481,0.233377,0.643283,2.78614,0.330316,0.222594,-0.696696,0.596622
1535564707.331107642,0.231951,0.644419,2.78558,0.327957,0.224316,-0.69794,0.595824
1535564707.355478907,0.229948,0.643766,2.78411,0.335882,0.216677,-0.700646,0.591042
1535564707.379475790,0.229557,0.642987,2.7834,0.338781,0.216682,-0.698757,0.591621
1535564707.402049237,0.229365,0.644529,2.78378,0.334548,0.216353,-0.697762,0.595313
1535564707.420633910,0.229414,0.644093,2.78229,0.339877,0.215476,-0.699405,0.590667
1535564707.449235887,0.231234,0.644431,2.78262,0.333801,0.222474,-0.697862,0.593357
1535564707.463528432,0.230515,0.645528,2.78348,0.336195,0.218675,-0.699026,0.592045
1535564707.489344183,0.226777,0.64633,2.78274,0.340407,0.215966,-0.701528,0.587657
