time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535941982.071747593,-0.0805288,-0.537895,0.344872,0.141283,0.337312,0.864677,-0.344375,-1.42376,-1.25127,1.9804,-0.0378789,-2.08569,-1.11447,-0.63977
1535941982.119400547,-0.0761948,-0.538478,0.346164,0.14077,0.339754,0.862647,-0.347262,-1.43121,-1.25041,1.98094,-0.0349201,-2.08629,-1.11354,-0.64121
1535941982.167577861,-0.0725719,-0.538934,0.347243,0.140327,0.341793,0.860942,-0.349665,-1.43743,-1.24969,1.98139,-0.0324499,-2.08679,-1.11276,-0.642413
1535941982.215752356,-0.0696664,-0.539281,0.348107,0.139962,0.343426,0.859568,-0.351585,-1.44241,-1.24912,1.98175,-0.0304708,-2.08719,-1.11214,-0.643377
1535941982.263989282,-0.0674832,-0.539529,0.348756,0.139681,0.344652,0.858532,-0.353024,-1.44615,-1.24869,1.98202,-0.0289848,-2.08749,-1.11167,-0.6441
1535941982.311888378,-0.0660257,-0.539689,0.349189,0.139492,0.34547,0.857839,-0.353983,-1.44865,-1.2484,1.9822,-0.0279933,-2.08769,-1.11136,-0.644583
1535941982.359610005,-0.0652965,-0.539768,0.349405,0.139396,0.345879,0.857492,-0.354463,-1.4499,-1.24826,1.98229,-0.0274973,-2.08779,-1.11121,-0.644824
1535941985.407543096,-0.0652965,-0.539768,0.349405,0.139396,0.345879,0.857492,-0.354463,-1.4499,-1.24826,1.98229,-0.0274973,-2.08779,-1.11121,-0.644824
1535941985.455530047,-0.0660257,-0.539689,0.349189,0.139492,0.34547,0.857839,-0.353983,-1.44865,-1.2484,1.9822,-0.0279933,-2.08769,-1.11136,-0.644583
1535941985.503791282,-0.0674832,-0.539529,0.348756,0.139681,0.344652,0.858532,-0.353024,-1.44615,-1.24869,1.98202,-0.0289848,-2.08749,-1.11167,-0.6441
