time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535941982.059871062,-0.156914,-0.520751,0.264547,0.110737,0.242661,0.911051,-0.314385,-1.29729,-1.33725,1.9306,-0.162087,-2.05456,-1.12817,-0.550399
1535941982.065748853,-0.156011,-0.52109,0.264626,0.110749,0.243223,0.910793,-0.314697,-1.29906,-1.33722,1.93057,-0.161981,-2.05452,-1.12719,-0.551357
1535941982.078378180,-0.154601,-0.521555,0.26471,0.110641,0.243669,0.910413,-0.315486,-1.30183,-1.33712,1.93065,-0.161954,-2.05435,-1.12649,-0.552325
1535941982.084192386,-0.153652,-0.521845,0.264902,0.110684,0.243836,0.910061,-0.316357,-1.3037,-1.33686,1.93089,-0.161767,-2.05419,-1.12649,-0.552373
1535941982.090664577,-0.152545,-0.522167,0.265194,0.110769,0.243993,0.909633,-0.317437,-1.30594,-1.33631,1.93141,-0.161767,-2.05419,-1.12657,-0.552255
1535941982.103183919,-0.151082,-0.522584,0.265988,0.111349,0.24429,0.908969,-0.318902,-1.30909,-1.33479,1.93285,-0.161873,-2.05419,-1.12667,-0.552162
1535941982.109172950,-0.150225,-0.522807,0.266021,0.111262,0.244157,0.908737,-0.319697,-1.31085,-1.33464,1.93326,-0.162033,-2.0541,-1.12693,-0.552195
1535941982.115025570,-0.149828,-0.522917,0.26605,0.111333,0.244109,0.908573,-0.320172,-1.3117,-1.33452,1.93353,-0.162165,-2.05403,-1.12689,-0.551976
1535941982.127463036,-0.148243,-0.52334,0.266402,0.111151,0.244311,0.908024,-0.321635,-1.3148,-1.33375,1.93365,-0.162349,-2.05387,-1.12721,-0.551842
1535941982.133371709,-0.14733,-0.523604,0.266716,0.111137,0.244659,0.907677,-0.322355,-1.31656,-1.33315,1.93362,-0.162374,-2.05375,-1.12711,-0.551984
1535941982.139985189,-0.146567,-0.523826,0.266988,0.111004,0.245052,0.907372,-0.322961,-1.31794,-1.33269,1.93347,-0.16227,-2.05389,-1.12708,-0.552007
1535941982.145905587,-0.145713,-0.524064,0.267128,0.110905,0.2452,0.907111,-0.323615,-1.3196,-1.33248,1.93365,-0.162164,-2.05389,-1.12716,-0.552264
1535941982.158463275,-0.144239,-0.524327,0.267119,0.109816,0.244577,0.907268,-0.324016,-1.32243,-1.33224,1.93381,-0.1624,-2.05364,-1.12928,-0.554529
1535941982.164274113,-0.143811,-0.524387,0.267157,0.109392,0.24433,0.907333,-0.324166,-1.32317,-1.3322,1.93384,-0.162188,-2.05364,-1.13036,-0.555194
1535941982.170712622,-0.143013,-0.524592,0.267141,0.109081,0.244366,0.90713,-0.32481,-1.32467,-1.3322,1.93378,-0.162215,-2.05371,-1.13056,-0.555275
1535941982.182627825,-0.141549,-0.525033,0.26719,0.109022,0.244761,0.906544,-0.326166,-1.32749,-1.3322,1.9339,-0.162136,-2.05373,-1.12991,-0.55503
1535941982.188509854,-0.140756,-0.525259,0.267206,0.108908,0.244913,0.906218,-0.326995,-1.32899,-1.33223,1.93392,-0.162031,-2.05382,-1.12979,-0.554695
1535941982.195061988,-0.139875,-0.525522,0.267287,0.108809,0.245235,0.905896,-0.327677,-1.33064,-1.33217,1.93387,-0.161899,-2.05384,-1.12945,-0.554817
1535941982.206835615,-0.138901,-0.525864,0.267547,0.108995,0.245949,0.905542,-0.32806,-1.33251,-1.33199,1.93408,-0.16142,-2.05384,-1.12849,-0.555835
1535941982.213289288,-0.138303,-0.52608,0.267683,0.109022,0.246483,0.90536,-0.328151,-1.33363,-1.33192,1.93414,-0.161154,-2.05398,-1.12776,-0.556688
1535941982.219462728,-0.137532,-0.526348,0.267791,0.109097,0.247035,0.905098,-0.328434,-1.33512,-1.33185,1.9342,-0.161021,-2.054,-1.1268,-0.557435
1535941982.231170236,-0.13603,-0.526855,0.26802,0.109155,0.248035,0.904581,-0.329085,-1.33795,-1.33181,1.93429,-0.160435,-2.0541,-1.12538,-0.558758
1535941982.237331300,-0.135162,-0.527147,0.268171,0.109262,0.248591,0.904284,-0.329446,-1.33961,-1.33177,1.93438,-0.160062,-2.054,-1.12455,-0.559614
1535941982.243450660,-0.134272,-0.527434,0.268349,0.109217,0.249197,0.903918,-0.330007,-1.34121,-1.33171,1.93432,-0.15961,-2.05421,-1.12394,-0.559969
1535941982.249613148,-0.133733,-0.527657,0.268473,0.109436,0.249799,0.903694,-0.330092,-1.34222,-1.33177,1.93438,-0.159157,-2.05414,-1.12291,-0.560786
1535941982.262140202,-0.133015,-0.527922,0.268939,0.109877,0.250436,0.903207,-0.330797,-1.34339,-1.3317,1.93438,-0.157558,-2.05372,-1.12274,-0.560971
1535941982.292938591,-0.133015,-0.527922,0.268939,0.109877,0.250436,0.903207,-0.330797,-1.34339,-1.3317,1.93438,-0.157558,-2.05372,-1.12274,-0.560971
1535941982.299073341,-0.128612,-0.529219,0.270477,0.110921,0.252234,0.90095,-0.335207,-1.35129,-1.3312,1.93493,-0.152784,-2.05225,-1.12287,-0.560944
1535941982.305583000,-0.127725,-0.52947,0.270842,0.111201,0.252593,0.900494,-0.336068,-1.35294,-1.33093,1.93533,-0.151955,-2.05209,-1.12287,-0.56099
1535941982.311358967,-0.12746,-0.529576,0.271162,0.111663,0.252887,0.900238,-0.336379,-1.35348,-1.33069,1.93587,-0.151287,-2.05202,-1.12266,-0.56104
1535941982.317499080,-0.127236,-0.529653,0.271446,0.112049,0.253019,0.900049,-0.336656,-1.35391,-1.33056,1.93638,-0.150485,-2.05184,-1.12284,-0.561193
1535941982.323677438,-0.126984,-0.529748,0.27174,0.112435,0.253281,0.899801,-0.336993,-1.35439,-1.33033,1.93674,-0.14987,-2.05172,-1.12271,-0.561129
1535941982.329854674,-0.126451,-0.529926,0.272074,0.112645,0.253804,0.899455,-0.337454,-1.35529,-1.33015,1.93696,-0.149035,-2.05189,-1.12248,-0.561203
1535941982.336075115,-0.125789,-0.530113,0.272404,0.112727,0.254256,0.899149,-0.337902,-1.35647,-1.32981,1.93697,-0.14849,-2.05186,-1.12236,-0.561522
1535941982.342165662,-0.125085,-0.530336,0.272797,0.112725,0.255081,0.898804,-0.338198,-1.35764,-1.32936,1.93664,-0.147995,-2.05201,-1.12175,-0.562011
1535941982.348327996,-0.124737,-0.530487,0.27313,0.112766,0.255909,0.89858,-0.338153,-1.35812,-1.32911,1.93642,-0.147358,-2.05238,-1.12106,-0.562571
1535941982.354490571,-0.124167,-0.530687,0.27347,0.11264,0.256773,0.898255,-0.338405,-1.35892,-1.32901,1.93634,-0.146356,-2.05316,-1.12069,-0.562897
1535941982.360751139,-0.123526,-0.530892,0.273843,0.112484,0.25756,0.897908,-0.338779,-1.35983,-1.32894,1.93634,-0.145136,-2.05394,-1.12065,-0.56319
1535941982.366875625,-0.122789,-0.531087,0.274068,0.112155,0.258051,0.897612,-0.339299,-1.36095,-1.32904,1.93643,-0.144091,-2.05472,-1.121,-0.563402
