time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1535941982.059298612,1.30376,0.648281,-0.582706,0.269173,-0.411266,-0.0272741,-0.179764
1535941982.065558043,1.29737,0.648665,-0.582393,0.271578,-0.414444,-0.0344238,-0.160356
1535941982.071761088,1.28864,0.649589,-0.582188,0.27394,-0.415489,-0.0363913,-0.142979
1535941982.077864315,1.32084,0.653175,-0.58329,0.280138,-0.422362,-0.0366928,-0.138369
1535941982.084001739,1.32406,0.65227,-0.58315,0.282438,-0.424169,-0.0340396,-0.144421
1535941982.090163440,1.3109,0.648686,-0.582303,0.282416,-0.424779,-0.0331747,-0.151671
1535941982.096367186,1.29035,0.640506,-0.580856,0.284913,-0.425749,-0.0332175,-0.160986
1535941982.102582659,1.28327,0.626342,-0.576942,0.287546,-0.426708,-0.0323658,-0.166519
1535941982.108829696,1.27952,0.619589,-0.576838,0.289999,-0.428267,-0.0323535,-0.174844
1535941982.114893290,1.27036,0.618857,-0.57903,0.292376,-0.430782,-0.0283621,-0.182232
1535941982.120914816,1.27986,0.619466,-0.580394,0.294433,-0.43269,-0.0314879,-0.18761
1535941982.127065428,1.30779,0.620762,-0.578374,0.298198,-0.438343,-0.0296747,-0.198235
1535941982.133244909,1.29847,0.620147,-0.57502,0.300241,-0.439902,-0.0287512,-0.20309
1535941982.139430475,1.28706,0.617817,-0.569601,0.300518,-0.440789,-0.028666,-0.202051
1535941982.145570169,1.28375,0.617925,-0.565246,0.30144,-0.43888,-0.0288392,-0.203462
1535941982.151725444,1.27462,0.618092,-0.566173,0.301349,-0.438037,-0.0248692,-0.203521
1535941982.157948481,1.26889,0.620454,-0.567513,0.303187,-0.440764,-0.00204342,-0.208952
1535941982.164090844,1.26609,0.621246,-0.567873,0.30281,-0.441619,0.0250391,-0.209621
1535941982.170104820,1.27531,0.623831,-0.569129,0.301736,-0.439781,0.0412435,-0.217968
1535941982.176167760,1.29422,0.629115,-0.570599,0.305767,-0.443258,0.0380035,-0.223911
1535941982.182251607,1.28708,0.630729,-0.572533,0.306601,-0.442552,0.028493,-0.224929
1535941982.188368005,1.28088,0.633012,-0.573498,0.306316,-0.442481,0.0149319,-0.21842
1535941982.194405885,1.27231,0.635204,-0.57488,0.306628,-0.441091,0.00585888,-0.221342
1535941982.200587224,1.26071,0.636825,-0.574524,0.30625,-0.440123,-0.000178173,-0.216121
1535941982.206810234,1.26101,0.636763,-0.574773,0.305325,-0.437706,-0.00249067,-0.210098
1535941982.212734097,1.26838,0.6368,-0.575582,0.303638,-0.437234,-0.00613808,-0.194705
1535941982.218925222,1.2666,0.637277,-0.575902,0.303306,-0.43482,-0.00800669,-0.178699
1535941982.225029540,1.27801,0.63923,-0.576605,0.305445,-0.437509,-0.013876,-0.16525
1535941982.231103247,1.26716,0.640431,-0.578003,0.304124,-0.435571,-0.0181297,-0.150195
1535941982.237134896,1.26217,0.64111,-0.577696,0.303256,-0.43418,-0.0194036,-0.145573
1535941982.243243314,1.24873,0.641369,-0.578297,0.300609,-0.433063,-0.0211474,-0.132993
1535941982.249323345,1.2373,0.642373,-0.577512,0.299603,-0.429316,-0.0255144,-0.129953
1535941982.255514883,1.23899,0.643867,-0.578914,0.296871,-0.42783,-0.0302039,-0.116156
1535941982.261635454,1.24857,0.642925,-0.577596,0.291156,-0.424239,-0.0300789,-0.116925
1535941982.298732797,1.2734,0.646582,-0.578749,0.286858,-0.424624,-0.029554,-0.134883
1535941982.304970816,1.22225,0.640951,-0.577571,0.260772,-0.412167,-0.0258852,-0.173869
1535941982.311061792,1.20796,0.636615,-0.577764,0.257922,-0.409757,-0.025187,-0.177473
1535941982.317197296,1.21846,0.631916,-0.579282,0.257116,-0.408215,-0.0272892,-0.177887
1535941982.323313257,1.24071,0.629727,-0.581661,0.255503,-0.408081,-0.0229077,-0.183699
1535941982.329386441,1.24914,0.627108,-0.581697,0.254782,-0.407552,-0.0252766,-0.185863
1535941982.335567016,1.24737,0.62617,-0.581024,0.254365,-0.403215,-0.0274729,-0.184749
1535941982.341741813,1.23985,0.625096,-0.577481,0.254871,-0.402926,-0.0251015,-0.182677
1535941982.347942102,1.23237,0.625484,-0.570645,0.256934,-0.401744,-0.0275758,-0.172241
1535941982.354055025,1.23965,0.626983,-0.567231,0.258976,-0.397918,-0.0302352,-0.16106
1535941982.360210008,1.23898,0.628895,-0.566681,0.260663,-0.388742,-0.0310937,-0.157692
1535941982.366398842,1.24091,0.630585,-0.567028,0.260892,-0.379362,-0.0277712,-0.159968
1535941982.372574956,1.23255,0.632823,-0.569456,0.261856,-0.371554,-0.0205871,-0.167363
1535941982.378776833,1.2244,0.63408,-0.568484,0.261915,-0.361818,-0.0152361,-0.170817
1535941982.384818411,1.2359,0.636468,-0.570384,0.263026,-0.352848,-0.011456,-0.173066
1535941982.390908787,1.24637,0.637516,-0.569804,0.263732,-0.34032,-0.00927366,-0.167705
1535941982.397030441,1.24948,0.638941,-0.571334,0.263071,-0.328173,-0.00263399,-0.158246
1535941982.403145836,1.25409,0.640011,-0.571663,0.263318,-0.313169,-0.00286802,-0.15525
1535941982.409230704,1.2546,0.64118,-0.572931,0.261964,-0.298874,-0.00665411,-0.150739
