time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535249852.336998523,-0.0794924,-0.421645,0.387774,0.180481,-0.358064,0.79274,-0.459108,-1.60116,-0.716456,-0.958241,-0.000245637,-0.818752,1.80885,-1.93226
1535249852.343101819,-0.079953,-0.421827,0.387161,0.18052,-0.357936,0.793045,-0.458665,-1.60014,-0.716422,-0.959015,-0.000109159,-0.820151,1.80906,-1.93071
1535249852.349235430,-0.0802,-0.422036,0.386619,0.180598,-0.357729,0.793233,-0.45847,-1.59956,-0.716228,-0.959742,-0.000109159,-0.821453,1.80913,-1.92935
1535249852.360963216,-0.0804322,-0.422445,0.385839,0.18074,-0.357002,0.793664,-0.458236,-1.59881,-0.715138,-0.961437,-8.18736e-05,-0.823671,1.80913,-1.92735
1535249852.367065673,-0.0807554,-0.422698,0.385234,0.180882,-0.356744,0.793908,-0.457958,-1.59801,-0.714674,-0.962167,-0.000136462,-0.825258,1.80916,-1.9258
1535249852.373227146,-0.08117,-0.422861,0.384712,0.180871,-0.356802,0.794197,-0.457416,-1.59705,-0.714266,-0.962615,-0.000163747,-0.826697,1.80931,-1.92497
1535249852.385014232,-0.082201,-0.423134,0.383566,0.18019,-0.357296,0.79449,-0.45679,-1.59443,-0.713559,-0.963371,-0.000218335,-0.829713,1.80913,-1.92375
1535249852.391063347,-0.082664,-0.42334,0.382966,0.180076,-0.357394,0.794665,-0.456453,-1.59326,-0.712908,-0.963753,-0.000218335,-0.831442,1.80908,-1.92284
1535249852.397232513,-0.0829344,-0.42351,0.382436,0.179912,-0.35755,0.794775,-0.456204,-1.59251,-0.712499,-0.964063,-0.000163747,-0.832878,1.80895,-1.92233
1535249852.409542747,-0.0836359,-0.423862,0.381299,0.17989,-0.357652,0.795035,-0.45568,-1.5907,-0.712116,-0.96449,-0.000245637,-0.835658,1.80853,-1.9202
1535249852.415131283,-0.0841151,-0.424026,0.380722,0.179976,-0.357753,0.79522,-0.455244,-1.58958,-0.711926,-0.964562,-0.000191049,-0.837101,1.80846,-1.91897
1535249852.421259722,-0.0845431,-0.424202,0.380038,0.179928,-0.35794,0.795383,-0.45483,-1.58846,-0.711872,-0.96461,-0.000163747,-0.838691,1.80811,-1.9179
1535249852.433225599,-0.0851977,-0.424506,0.378848,0.179718,-0.358424,0.795459,-0.454398,-1.5867,-0.711819,-0.964516,-0.000163747,-0.841451,1.80742,-1.91628
1535249852.439325882,-0.085551,-0.424683,0.378061,0.179487,-0.358863,0.795408,-0.454232,-1.58579,-0.712008,-0.964491,-0.000218335,-0.843178,1.80711,-1.91537
1535249852.445446066,-0.0860679,-0.424798,0.377421,0.17939,-0.359227,0.79554,-0.453753,-1.58456,-0.712118,-0.964349,-0.000109159,-0.844625,1.80691,-1.91446
1535249852.457120840,-0.087013,-0.425071,0.376108,0.178995,-0.359722,0.795785,-0.453086,-1.582,-0.712091,-0.964325,-0.000109159,-0.847601,1.80595,-1.91267
1535249852.463251432,-0.0876108,-0.425129,0.375615,0.178835,-0.359956,0.796003,-0.45258,-1.58056,-0.712091,-0.964325,-0.000218335,-0.848738,1.80577,-1.91188
1535249852.469416975,-0.0883818,-0.425204,0.375017,0.178743,-0.360168,0.796328,-0.451877,-1.5788,-0.712063,-0.964443,-0.000163747,-0.850141,1.80577,-1.91068
1535249852.481281141,-0.0891585,-0.425501,0.373813,0.17874,-0.360413,0.796567,-0.45126,-1.57683,-0.712008,-0.964491,-0.000136462,-0.852898,1.80518,-1.90846
1535249852.487410340,-0.0895638,-0.42564,0.373065,0.178357,-0.360843,0.796584,-0.451039,-1.57571,-0.712061,-0.964537,-0.000136462,-0.854574,1.80473,-1.90785
1535249852.493077102,-0.0901894,-0.425776,0.372325,0.17814,-0.361224,0.796705,-0.450605,-1.57416,-0.711927,-0.964468,-8.18736e-05,-0.856356,1.80444,-1.90686
1535249852.505420086,-0.0915495,-0.425921,0.370853,0.177368,-0.362304,0.797034,-0.449459,-1.5709,-0.712089,-0.964466,-0.000163747,-0.859719,1.8041,-1.90555
1535249852.511024927,-0.0920924,-0.426014,0.370129,0.177,-0.362756,0.797157,-0.44902,-1.56962,-0.712168,-0.964677,-0.000163747,-0.86136,1.80404,-1.90488
1535249852.517192540,-0.0928275,-0.426082,0.369439,0.176703,-0.363203,0.797346,-0.44844,-1.56792,-0.71214,-0.964701,-0.000191049,-0.862991,1.80397,-1.90403
1535249852.529494203,-0.0934653,-0.426345,0.368163,0.17627,-0.363766,0.79743,-0.448005,-1.56631,-0.712081,-0.965078,-0.000109159,-0.865943,1.80366,-1.90264
1535249852.535650241,-0.093951,-0.426483,0.367491,0.176201,-0.363855,0.797652,-0.447565,-1.56514,-0.711996,-0.965385,-0.000191049,-0.867495,1.80352,-1.90144
1535249852.541773605,-0.094591,-0.426576,0.366708,0.175928,-0.364338,0.797794,-0.447026,-1.5637,-0.712103,-0.965478,-0.000191049,-0.869274,1.80353,-1.90051
1535249852.553580581,-0.0959444,-0.42681,0.365212,0.175662,-0.364762,0.798294,-0.44589,-1.56071,-0.711904,-0.966256,-8.18736e-05,-0.872821,1.8038,-1.89785
1535249852.559660696,-0.0964899,-0.426953,0.364471,0.175449,-0.364662,0.798654,-0.445412,-1.55932,-0.711758,-0.967081,-8.18736e-05,-0.874485,1.80362,-1.89648
1535249852.565811537,-0.0968998,-0.427075,0.363878,0.175054,-0.364508,0.798874,-0.445297,-1.55804,-0.711533,-0.967789,-0.000136462,-0.875796,1.80301,-1.89553
1535249852.578099388,-0.0976491,-0.427346,0.362549,0.173787,-0.364385,0.799288,-0.445153,-1.55548,-0.710752,-0.969633,-0.000163747,-0.878893,1.80168,-1.89438
1535249852.584256630,-0.0981759,-0.427434,0.361939,0.17312,-0.364438,0.79963,-0.444753,-1.55399,-0.710159,-0.970662,-0.000245637,-0.880486,1.80143,-1.8941
1535249852.589878952,-0.0987803,-0.427562,0.361109,0.172491,-0.364607,0.799849,-0.444466,-1.55234,-0.709825,-0.971464,-0.000245637,-0.882451,1.80105,-1.89328
1535249852.602211511,-0.099834,-0.427819,0.359596,0.171173,-0.364621,0.800373,-0.444021,-1.54924,-0.708954,-0.973479,-0.000136462,-0.88606,1.80012,-1.89181
1535249852.608350229,-0.100299,-0.427989,0.358764,0.170602,-0.364489,0.800647,-0.443855,-1.54791,-0.708576,-0.974785,-0.000109159,-0.887986,1.79982,-1.8907
1535249852.614564658,-0.100852,-0.428129,0.357922,0.169998,-0.364417,0.80096,-0.44358,-1.54631,-0.708275,-0.975886,-0.000136462,-0.889888,1.79932,-1.88963
1535249852.651359797,-0.101027,-0.428342,0.357232,0.169632,-0.364006,0.801233,-0.443567,-1.54551,-0.70781,-0.977128,-0.000163747,-0.891477,1.79871,-1.88856
1535249852.657475681,-0.104617,-0.429358,0.352457,0.168059,-0.362405,0.803721,-0.440967,-1.53601,-0.704531,-0.983522,-0.000163747,-0.903125,1.7971,-1.87938
1535249852.663125885,-0.105116,-0.429579,0.351697,0.16813,-0.362012,0.804158,-0.440465,-1.53467,-0.703768,-0.984326,-0.000109159,-0.905108,1.79679,-1.87765
1535249852.669236699,-0.105586,-0.429825,0.350786,0.168126,-0.36182,0.804438,-0.440114,-1.53345,-0.703141,-0.985013,-0.000163747,-0.907392,1.7965,-1.87586
1535249852.675328398,-0.106142,-0.429984,0.350161,0.168133,-0.361569,0.804794,-0.439665,-1.53206,-0.702377,-0.985632,-0.000218335,-0.909117,1.79635,-1.87442
1535249852.681478022,-0.106622,-0.430122,0.349426,0.167722,-0.361735,0.804964,-0.439375,-1.53078,-0.701696,-0.98618,-8.18736e-05,-0.911082,1.79612,-1.87378
1535249852.687061098,-0.107074,-0.430268,0.348633,0.167323,-0.361994,0.805059,-0.439139,-1.52961,-0.701124,-0.986632,-0.000163747,-0.913143,1.79592,-1.87309
