time,x,y,z,qx,qy,qz,qw
1536128081.592209989,0.514281,-0.844412,-0.1363,0.302845,0.729921,0.371822,0.487081
1536128081.603363428,0.515548,-0.846816,-0.134975,0.313897,0.728072,0.372213,0.482533
1536128081.616081963,0.517122,-0.847392,-0.132477,0.325952,0.730974,0.366496,0.47446
1536128081.624933191,0.517845,-0.847556,-0.12962,0.322692,0.724174,0.377791,0.478244
1536128081.636029160,0.518714,-0.847858,-0.128179,0.332847,0.727907,0.370781,0.471048
1536128081.648272435,0.519528,-0.849096,-0.125915,0.336491,0.726436,0.374361,0.467888
1536128081.658959124,0.519891,-0.849486,-0.124462,0.343117,0.726112,0.372839,0.464783
1536128081.670177043,0.520178,-0.849792,-0.122473,0.351287,0.726795,0.373683,0.456867
1536128081.681262797,0.521654,-0.849999,-0.119138,0.355754,0.724892,0.374958,0.455387
1536128081.691595376,0.520377,-0.850301,-0.118565,0.35722,0.721983,0.381802,0.453168
1536128081.704890861,0.521728,-0.851533,-0.116099,0.368682,0.722495,0.379142,0.445338
1536128081.714154620,0.521205,-0.851467,-0.114842,0.376663,0.724094,0.375789,0.438857
1536128081.724227295,0.522027,-0.851098,-0.110853,0.377401,0.720176,0.381918,0.43938
1536128081.737672857,0.521399,-0.852476,-0.110089,0.383863,0.718433,0.384405,0.434437
1536128081.747385882,0.521141,-0.852306,-0.108773,0.392419,0.718133,0.38452,0.427127
1536128081.759905128,0.521474,-0.852367,-0.1062,0.400586,0.721754,0.378999,0.418285
1536128081.769802475,0.522151,-0.851076,-0.102594,0.397182,0.716099,0.391491,0.419742
1536128081.780284349,0.521185,-0.853371,-0.102281,0.409158,0.717698,0.385293,0.411156
1536128081.793189958,0.520921,-0.853106,-0.100398,0.418558,0.718704,0.383651,0.401355
1536128081.803758171,0.521072,-0.852501,-0.0964337,0.419882,0.715689,0.389452,0.399769
1536128081.814843163,0.519972,-0.853419,-0.0953878,0.42405,0.712917,0.394029,0.395819
1536128081.826083965,0.519412,-0.853653,-0.0939978,0.434306,0.712077,0.393241,0.386892
1536128081.837673440,0.520534,-0.85281,-0.0898758,0.442781,0.714453,0.389065,0.377003
1536128081.849873924,0.520342,-0.852642,-0.0875052,0.442272,0.708141,0.400386,0.377655
1536128081.862211555,0.519449,-0.853755,-0.0861059,0.453619,0.710562,0.393593,0.366627
1536128081.870662366,0.520865,-0.85317,-0.0817722,0.458093,0.706505,0.39761,0.364565
1536128081.882657008,0.520123,-0.854736,-0.080293,0.462977,0.704989,0.401042,0.357502
