time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1536123873.632316069,-0.151588,-0.508408,0.0856878,0.285677,0.326365,0.83737,-0.332694,-1.17263,-1.57411,1.11761,-0.555672,-0.327955,-0.245321,-1.31035
1536123873.652690243,-0.155312,-0.50618,0.0865159,0.286677,0.31659,0.841788,-0.330122,-1.16338,-1.56569,1.1165,-0.567969,-0.326119,-0.264052,-1.30972
1536123873.673827381,-0.159119,-0.503815,0.0873929,0.287656,0.30647,0.84623,-0.327451,-1.15383,-1.557,1.11535,-0.580646,-0.324225,-0.283362,-1.30906
1536123873.693848412,-0.163,-0.501312,0.08832,0.288609,0.296013,0.850683,-0.324683,-1.14401,-1.54806,1.11416,-0.593691,-0.322277,-0.303232,-1.30838
1536123873.715554612,-0.166949,-0.498666,0.0892987,0.289532,0.285226,0.855132,-0.321819,-1.13393,-1.53888,1.11295,-0.607091,-0.320275,-0.323643,-1.30769
1536123873.736778804,-0.170956,-0.495877,0.0903302,0.290419,0.274119,0.859561,-0.318859,-1.12358,-1.52946,1.1117,-0.620832,-0.318223,-0.344574,-1.30697
1536123873.754779108,-0.175014,-0.492942,0.0914157,0.291265,0.262699,0.863956,-0.315806,-1.11299,-1.51982,1.11043,-0.634902,-0.316122,-0.366004,-1.30624
1536123873.775981916,-0.179115,-0.48986,0.0925564,0.292066,0.250977,0.868303,-0.312661,-1.10217,-1.50996,1.10912,-0.649285,-0.313974,-0.387913,-1.3055
1536123873.796337807,-0.18325,-0.486629,0.0937533,0.292817,0.238963,0.872588,-0.309426,-1.09111,-1.4999,1.10779,-0.663969,-0.311781,-0.410279,-1.30473
1536123873.818406337,-0.18741,-0.483251,0.0950073,0.293515,0.226667,0.876796,-0.306103,-1.07984,-1.48964,1.10643,-0.678938,-0.309545,-0.43308,-1.30396
1536123873.838030640,-0.191588,-0.479724,0.0963191,0.294156,0.214099,0.880914,-0.302694,-1.06837,-1.4792,1.10505,-0.694177,-0.307269,-0.456293,-1.30317
1536123873.857081179,-0.195775,-0.476049,0.0976895,0.294736,0.201273,0.884929,-0.2992,-1.05671,-1.46858,1.10365,-0.709672,-0.304955,-0.479895,-1.30236
1536123873.877252213,-0.199963,-0.472228,0.099119,0.295251,0.1882,0.888827,-0.295624,-1.04486,-1.4578,1.10222,-0.725408,-0.302604,-0.503864,-1.30154
