time,x,y,z,qx,qy,qz,qw
1536123873.616478176,-0.224193,-1.27001,0.679534,0.274482,-0.150165,-0.754707,0.576652
1536123873.625719306,-0.223073,-1.26703,0.680483,0.273269,-0.151313,-0.754175,0.577624
1536123873.635122128,-0.222761,-1.26596,0.680364,0.269151,-0.152939,-0.755361,0.57758
1536123873.648314686,-0.222159,-1.2632,0.680826,0.271732,-0.154047,-0.755543,0.575835
1536123873.659770026,-0.221192,-1.26124,0.680949,0.267311,-0.1568,-0.756937,0.575331
1536123873.669878060,-0.220461,-1.25841,0.681521,0.265013,-0.158764,-0.75737,0.575286
1536123873.681918308,-0.220081,-1.25487,0.681767,0.263092,-0.16169,-0.756888,0.575986
1536123873.692616244,-0.219326,-1.25164,0.682051,0.25885,-0.170169,-0.757221,0.575027
1536123873.702465611,-0.21834,-1.24885,0.682526,0.258534,-0.166713,-0.757143,0.576282
1536123873.716977040,-0.217711,-1.24677,0.682675,0.25509,-0.169842,-0.758556,0.575044
1536123873.726022681,-0.216889,-1.2439,0.683473,0.255646,-0.171527,-0.757725,0.575392
1536123873.739978688,-0.216533,-1.23999,0.683243,0.249577,-0.176203,-0.757977,0.576312
1536123873.749603878,-0.215912,-1.23672,0.683193,0.247338,-0.184055,-0.757272,0.575749
1536123873.761099121,-0.214634,-1.23399,0.684028,0.243388,-0.185833,-0.760576,0.572497
1536123873.769328434,-0.21345,-1.23074,0.684347,0.242709,-0.185919,-0.75896,0.574897
1536123873.781447847,-0.212562,-1.22622,0.684519,0.239871,-0.188372,-0.759926,0.574012
1536123873.794526410,-0.211317,-1.22346,0.685034,0.237082,-0.196155,-0.758099,0.57498
1536123873.803488015,-0.209917,-1.22088,0.685048,0.232999,-0.195437,-0.760847,0.573261
1536123873.815431316,-0.20907,-1.21755,0.684845,0.22886,-0.201981,-0.760974,0.57249
1536123873.826112462,-0.208081,-1.21351,0.68491,0.226994,-0.206676,-0.759069,0.574084
1536123873.839684488,-0.206594,-1.21141,0.684943,0.224325,-0.209551,-0.759961,0.57291
1536123873.850227326,-0.204942,-1.20684,0.685549,0.21989,-0.209235,-0.762823,0.570938
1536123873.859147421,-0.204235,-1.20396,0.685215,0.215879,-0.215263,-0.761034,0.572613
1536123873.871894022,-0.202418,-1.19992,0.685865,0.214453,-0.219099,-0.760467,0.572447
1536123873.882894410,-0.20148,-1.19666,0.685343,0.209806,-0.220799,-0.763437,0.569555
1536123873.892701498,-0.199916,-1.19214,0.684995,0.206656,-0.230493,-0.762623,0.567955
1536123873.906046476,-0.198671,-1.18842,0.685093,0.203175,-0.232237,-0.761952,0.569399
1536123873.915606301,-0.197459,-1.18482,0.684723,0.20002,-0.237599,-0.763009,0.566883
1536123873.926937820,-0.195501,-1.1809,0.684868,0.197178,-0.236987,-0.763799,0.56707
1536123873.938119198,-0.193531,-1.17787,0.684512,0.193918,-0.244982,-0.763663,0.564976
1536123873.949748710,-0.191499,-1.1727,0.684324,0.186407,-0.248829,-0.763986,0.565386
1536123873.964228986,-0.189911,-1.17027,0.685009,0.186665,-0.252368,-0.764601,0.562896
