time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1536128081.592413937,-0.382754,0.213397,0.307247,-0.149561,0.918208,-0.159536,0.330263,0.099313,-0.978687,2.24357,-1.50424,1.32597,-1.60741,-1.16026
1536128081.612584760,-0.38553,0.207943,0.305543,-0.158433,0.918717,-0.169105,0.319784,0.0904839,-0.977792,2.22432,-1.50428,1.30196,-1.60878,-1.16186
1536128081.632368734,-0.388265,0.202304,0.303779,-0.16735,0.918873,-0.179077,0.309188,0.0814576,-0.976877,2.20464,-1.50433,1.27741,-1.61019,-1.16349
1536128081.654147616,-0.390948,0.196481,0.301955,-0.176286,0.918656,-0.18945,0.298501,0.072243,-0.975943,2.18455,-1.50437,1.25236,-1.61163,-1.16516
1536128081.673298033,-0.39357,0.190476,0.300072,-0.185214,0.918046,-0.200218,0.28775,0.0628494,-0.974991,2.16407,-1.50441,1.22681,-1.61309,-1.16686
1536128081.694180392,-0.39612,0.184291,0.29813,-0.194107,0.917026,-0.211372,0.27696,0.0532859,-0.974021,2.14322,-1.50446,1.20081,-1.61458,-1.1686
1536128081.715380008,-0.398589,0.177928,0.29613,-0.202935,0.915581,-0.222906,0.26616,0.0435619,-0.973036,2.12202,-1.5045,1.17437,-1.6161,-1.17036
1536128081.735695269,-0.400967,0.171388,0.294073,-0.211672,0.913697,-0.234808,0.255377,0.0336871,-0.972035,2.10049,-1.50455,1.14751,-1.61764,-1.17215
1536128081.757037611,-0.403245,0.164676,0.291962,-0.22029,0.911363,-0.247065,0.244639,0.0236713,-0.97102,2.07865,-1.50459,1.12028,-1.6192,-1.17396
1536128081.776897595,-0.405413,0.157794,0.289798,-0.228759,0.90857,-0.259664,0.233974,0.0135242,-0.969991,2.05653,-1.50464,1.09269,-1.62078,-1.1758
1536128081.797274792,-0.407462,0.150746,0.287583,-0.237053,0.905311,-0.272589,0.22341,0.00325596,-0.96895,2.03414,-1.50469,1.06476,-1.62238,-1.17766
1536128081.817688400,-0.409383,0.143535,0.285321,-0.245145,0.901583,-0.285823,0.212975,-0.00712334,-0.967898,2.01151,-1.50473,1.03654,-1.624,-1.17954
1536128081.838469757,-0.411167,0.136166,0.283014,-0.253008,0.897382,-0.299345,0.202695,-0.0176035,-0.966836,1.98866,-1.50478,1.00804,-1.62563,-1.18144
1536128081.859396913,-0.412806,0.128644,0.280666,-0.260617,0.89271,-0.313136,0.192597,-0.028174,-0.965765,1.96561,-1.50483,0.979298,-1.62728,-1.18335
1536128081.878965511,-0.41429,0.120974,0.278282,-0.267946,0.88757,-0.327173,0.182708,-0.0388246,-0.964685,1.94239,-1.50488,0.950336,-1.62894,-1.18528
1536128081.899533585,-0.415613,0.113163,0.275865,-0.274972,0.881968,-0.341432,0.173051,-0.0495448,-0.963598,1.91902,-1.50493,0.921185,-1.63061,-1.18723
1536128081.920767491,-0.416766,0.105215,0.27342,-0.281674,0.875911,-0.35589,0.163652,-0.0603239,-0.962506,1.89552,-1.50498,0.891874,-1.63229,-1.18918
1536128081.940568127,-0.417742,0.0971403,0.270953,-0.288029,0.86941,-0.370519,0.154533,-0.0711512,-0.961408,1.87191,-1.50503,0.862432,-1.63398,-1.19114
1536128081.962598925,-0.418534,0.0889449,0.26847,-0.29402,0.862478,-0.385293,0.145715,-0.0820162,-0.960307,1.84822,-1.50508,0.832887,-1.63568,-1.19311
1536128081.981694223,-0.419136,0.0806379,0.265976,-0.299629,0.85513,-0.400184,0.137219,-0.0929082,-0.959203,1.82447,-1.50513,0.803269,-1.63737,-1.19508
1536128082.002536072,-0.419542,0.0722285,0.263478,-0.30484,0.847382,-0.415163,0.129063,-0.103816,-0.958098,1.80069,-1.50518,0.773607,-1.63908,-1.19706
1536128082.022577648,-0.419747,0.0637267,0.260982,-0.309639,0.839253,-0.430201,0.121264,-0.11473,-0.956991,1.7769,-1.50523,0.743931,-1.64078,-1.19904
1536128082.042969333,-0.419746,0.055143,0.258495,-0.314016,0.830765,-0.445269,0.113837,-0.125638,-0.955886,1.75311,-1.50528,0.714269,-1.64248,-1.20101
1536128082.063511179,-0.419536,0.0464889,0.256024,-0.317961,0.82194,-0.460337,0.106794,-0.13653,-0.954782,1.72937,-1.50533,0.684651,-1.64418,-1.20299
1536128082.084895878,-0.419113,0.0377763,0.253575,-0.321466,0.812803,-0.475375,0.100147,-0.147395,-0.95368,1.70568,-1.50538,0.655107,-1.64587,-1.20495
1536128082.106384367,-0.418476,0.0290178,0.251156,-0.324528,0.803378,-0.490354,0.0939057,-0.158222,-0.952583,1.68207,-1.50543,0.625664,-1.64756,-1.20692
1536128082.125180470,-0.417623,0.0202267,0.248773,-0.327143,0.793693,-0.505244,0.0880765,-0.169001,-0.95149,1.65857,-1.50548,0.596353,-1.64924,-1.20887
1536128082.145249218,-0.416554,0.0114168,0.246434,-0.329312,0.783775,-0.520017,0.0826644,-0.179721,-0.950404,1.63519,-1.50553,0.567202,-1.65091,-1.21081
1536128082.166508332,-0.41527,0.00260219,0.244145,-0.331036,0.773652,-0.534644,0.0776725,-0.190372,-0.949324,1.61197,-1.50558,0.538241,-1.65257,-1.21274
1536128082.186972450,-0.413774,-0.00620239,0.241911,-0.33232,0.763354,-0.549099,0.0731017,-0.200942,-0.948253,1.58893,-1.50563,0.509497,-1.65422,-1.21466
1536128082.206966083,-0.412067,-0.014982,0.239741,-0.33317,0.752911,-0.563355,0.0689507,-0.211423,-0.947191,1.56608,-1.50567,0.480998,-1.65585,-1.21655
1536128082.228814603,-0.410154,-0.0237215,0.237638,-0.333595,0.742352,-0.577386,0.0652164,-0.221802,-0.946139,1.54345,-1.50572,0.452774,-1.65747,-1.21844
1536128082.247559962,-0.408041,-0.0324055,0.235609,-0.333607,0.731707,-0.591168,0.0618934,-0.23207,-0.945098,1.52106,-1.50577,0.424852,-1.65907,-1.2203
1536128082.268610791,-0.405733,-0.0410186,0.233658,-0.333216,0.721007,-0.60468,0.0589749,-0.242217,-0.944069,1.49894,-1.50582,0.39726,-1.66065,-1.22213
1536128082.288073085,-0.403239,-0.0495455,0.23179,-0.33244,0.710279,-0.6179,0.0564518,-0.252233,-0.943054,1.4771,-1.50586,0.370024,-1.66221,-1.22395
1536128082.308806085,-0.400567,-0.057971,0.230008,-0.331293,0.699555,-0.630808,0.0543136,-0.262108,-0.942053,1.45557,-1.50591,0.343172,-1.66375,-1.22574
1536128082.330282758,-0.397727,-0.0662802,0.228316,-0.329793,0.688861,-0.643386,0.052548,-0.271832,-0.941068,1.43437,-1.50595,0.31673,-1.66527,-1.2275
1536128082.352025995,-0.394729,-0.0744586,0.226716,-0.327962,0.678227,-0.655618,0.0511412,-0.281395,-0.940098,1.41352,-1.506,0.290725,-1.66676,-1.22923
1536128082.369674086,-0.391585,-0.082492,0.225211,-0.325818,0.667678,-0.667489,0.0500782,-0.290789,-0.939146,1.39304,-1.50604,0.265181,-1.66823,-1.23093
1536128082.390465152,-0.388308,-0.0903669,0.223801,0.323385,-0.657241,0.678986,-0.0493424,-0.300003,-0.938212,1.37294,-1.50608,0.240124,-1.66966,-1.2326
1536128082.410845788,-0.384912,-0.0980702,0.222487,0.320686,-0.64694,0.690098,-0.0489163,-0.30903,-0.937297,1.35326,-1.50612,0.21558,-1.67107,-1.23424
1536128082.431390355,-0.38141,-0.10559,0.22127,0.317745,-0.6368,0.700817,-0.0487813,-0.317859,-0.936402,1.33401,-1.50616,0.191571,-1.67245,-1.23584
1536128082.452711725,-0.377817,-0.112914,0.220148,0.314586,-0.626843,0.711133,-0.048918,-0.326482,-0.935528,1.31521,-1.5062,0.168122,-1.67379,-1.2374
1536128082.472672480,-0.37415,-0.120033,0.219121,0.311235,-0.61709,0.721042,-0.0493063,-0.334891,-0.934676,1.29688,-1.50624,0.145256,-1.6751,-1.23892
1536128082.492650843,-0.370424,-0.126935,0.218187,0.307718,-0.607562,0.730538,-0.0499254,-0.343077,-0.933846,1.27903,-1.50628,0.122995,-1.67638,-1.24041
1536128082.513159998,-0.366655,-0.133613,0.217343,0.30406,-0.598276,0.73962,-0.0507542,-0.351033,-0.93304,1.26169,-1.50632,0.101362,-1.67762,-1.24185
1536128082.533547369,-0.36286,-0.140058,0.216587,0.300289,-0.58925,0.748285,-0.0517711,-0.35875,-0.932258,1.24486,-1.50635,0.0803775,-1.67882,-1.24325
1536128082.555626778,-0.359056,-0.146263,0.215915,0.29643,-0.5805,0.756535,-0.0529545,-0.366221,-0.9315,1.22857,-1.50639,0.0600626,-1.67999,-1.2446
1536128082.576854530,-0.35526,-0.152222,0.215324,0.292508,-0.572041,0.76437,-0.0542827,-0.373438,-0.930769,1.21284,-1.50642,0.0404372,-1.68111,-1.24591
1536128082.594889239,-0.351488,-0.157929,0.214809,0.288551,-0.563885,0.771794,-0.0557341,-0.380394,-0.930064,1.19767,-1.50645,0.0215208,-1.6822,-1.24717
1536128082.616138293,-0.347757,-0.163381,0.214366,0.284583,-0.556046,0.778809,-0.0572872,-0.387083,-0.929386,1.18309,-1.50648,0.00333186,-1.68324,-1.24838
1536128082.635484941,-0.344084,-0.168573,0.213991,0.280628,-0.548534,0.785422,-0.0589209,-0.393498,-0.928736,1.1691,-1.50651,-0.0141115,-1.68424,-1.24954
1536128082.656508974,-0.340485,-0.173502,0.213677,0.276711,-0.541358,0.791637,-0.0606145,-0.399632,-0.928114,1.15572,-1.50654,-0.0307921,-1.6852,-1.25065
1536128082.676921625,-0.336975,-0.178167,0.213421,0.272855,-0.534527,0.797461,-0.0623478,-0.40548,-0.927521,1.14298,-1.50657,-0.0466936,-1.68611,-1.25171
1536128082.698391391,-0.33357,-0.182567,0.213216,0.269083,-0.528049,0.802901,-0.0641013,-0.411035,-0.926958,1.13086,-1.50659,-0.0618001,-1.68697,-1.25272
1536128082.717112128,-0.330285,-0.186699,0.213058,0.265416,-0.521929,0.807965,-0.065856,-0.416293,-0.926425,1.1194,-1.50662,-0.0760968,-1.68779,-1.25367
1536128082.738024165,-0.327133,-0.190565,0.212941,0.261875,-0.516175,0.81266,-0.0675938,-0.421248,-0.925923,1.1086,-1.50664,-0.0895696,-1.68857,-1.25457
1536128082.758366322,-0.324128,-0.194165,0.21286,0.258479,-0.51079,0.816995,-0.0692975,-0.425894,-0.925452,1.09847,-1.50666,-0.102205,-1.68929,-1.25541
1536128082.778924291,-0.321283,-0.197498,0.21281,0.255246,-0.505779,0.820977,-0.0709507,-0.430229,-0.925013,1.08902,-1.50668,-0.113991,-1.68997,-1.2562
1536128082.800653939,-0.31861,-0.200567,0.212785,0.252195,-0.501144,0.824615,-0.072538,-0.434246,-0.924605,1.08026,-1.5067,-0.124916,-1.69059,-1.25693
1536128082.820421623,-0.316119,-0.203372,0.212781,0.24934,-0.49689,0.827918,-0.074045,-0.437943,-0.924231,1.0722,-1.50672,-0.134968,-1.69117,-1.2576
1536128082.841963501,-0.313822,-0.205916,0.212793,0.246697,-0.493017,0.830892,-0.0754583,-0.441315,-0.923889,1.06484,-1.50673,-0.144139,-1.69169,-1.25821
1536128082.861988167,-0.311727,-0.208198,0.212817,0.244279,-0.489528,0.833545,-0.0767659,-0.44436,-0.92358,1.05821,-1.50675,-0.152418,-1.69217,-1.25876
1536128082.881314462,-0.309843,-0.210222,0.212849,0.242099,-0.486424,0.835884,-0.0779564,-0.447074,-0.923305,1.05229,-1.50676,-0.159799,-1.69259,-1.25925
1536128082.901771771,-0.308178,-0.211989,0.212885,0.240168,-0.483707,0.837916,-0.0790201,-0.449455,-0.923064,1.0471,-1.50677,-0.166272,-1.69296,-1.25968
1536128082.922510201,-0.306738,-0.2135,0.212922,0.238494,-0.481376,0.839646,-0.0799482,-0.4515,-0.922857,1.04264,-1.50678,-0.171833,-1.69328,-1.26005
1536128082.944736528,-0.305529,-0.214756,0.212958,0.237087,-0.479433,0.84108,-0.0807332,-0.453207,-0.922684,1.03892,-1.50679,-0.176475,-1.69355,-1.26036
1536128082.962853327,-0.304557,-0.21576,0.212989,0.235953,-0.477879,0.842222,-0.0813688,-0.454575,-0.922545,1.03593,-1.50679,-0.180195,-1.69376,-1.26061
1536128082.983593331,-0.303824,-0.216512,0.213015,0.235098,-0.476713,0.843075,-0.08185,-0.455602,-0.922441,1.03369,-1.5068,-0.182988,-1.69392,-1.26079
1536128083.003821487,-0.303334,-0.217013,0.213032,0.234525,-0.475935,0.843642,-0.0821728,-0.456287,-0.922371,1.0322,-1.5068,-0.184851,-1.69403,-1.26092
1536128083.024442526,-0.303088,-0.217263,0.213041,0.234238,-0.475546,0.843925,-0.0823349,-0.45663,-0.922337,1.03145,-1.5068,-0.185783,-1.69408,-1.26098
1536128083.044964843,-0.303057,-0.217294,0.213042,0.234202,-0.475498,0.84396,-0.0823552,-0.456673,-0.922332,1.03136,-1.5068,-0.1859,-1.69409,-1.26099
1536128086.048817903,-0.303058,-0.217317,0.21303,0.234215,-0.475443,0.843985,-0.0823766,-0.456724,-0.922379,1.03137,-1.50673,-0.18591,-1.69398,-1.26099
1536128086.069378075,-0.303058,-0.217317,0.21303,0.234215,-0.475443,0.843985,-0.0823766,-0.456724,-0.922379,1.03137,-1.50673,-0.18591,-1.69398,-1.26099
1536128086.089558152,-0.303067,-0.217504,0.212929,0.234316,-0.475005,0.844187,-0.0825483,-0.457135,-0.922753,1.03142,-1.50619,-0.185992,-1.69315,-1.26102
1536128086.109829997,-0.303085,-0.217876,0.212728,0.234519,-0.474128,0.84459,-0.0828915,-0.457957,-0.923502,1.03151,-1.5051,-0.186155,-1.69149,-1.26108
1536128086.131798318,-0.303111,-0.218435,0.212427,0.234822,-0.472814,0.845192,-0.0834056,-0.459189,-0.924623,1.03166,-1.50346,-0.186399,-1.689,-1.26116
1536128086.151577108,-0.303144,-0.21918,0.212027,0.235225,-0.471062,0.84599,-0.0840901,-0.46083,-0.926117,1.03186,-1.50128,-0.186725,-1.68568,-1.26128
1536128086.173571535,-0.303182,-0.22011,0.211526,0.235726,-0.468874,0.84698,-0.0849438,-0.462878,-0.927981,1.03211,-1.49856,-0.187131,-1.68153,-1.26142
1536128086.192974851,-0.303225,-0.221226,0.210928,0.236323,-0.466249,0.848158,-0.0859658,-0.465331,-0.930214,1.0324,-1.4953,-0.187618,-1.67657,-1.26159
1536128086.213738988,-0.303268,-0.222526,0.210231,0.237014,-0.46319,0.849519,-0.0871545,-0.468187,-0.932814,1.03275,-1.49151,-0.188184,-1.67079,-1.26178
1536128086.233840186,-0.303312,-0.224011,0.209438,0.237797,-0.459697,0.851056,-0.0885083,-0.471442,-0.935778,1.03314,-1.48718,-0.18883,-1.6642,-1.26201
1536128086.254131953,-0.303351,-0.22568,0.208549,0.23867,-0.455773,0.852762,-0.0900253,-0.475094,-0.939102,1.03358,-1.48233,-0.189555,-1.65681,-1.26226
1536128086.274628393,-0.303384,-0.227532,0.207566,0.239628,-0.451417,0.854629,-0.0917034,-0.47914,-0.942785,1.03407,-1.47696,-0.190358,-1.64863,-1.26254
1536128086.295872453,-0.303407,-0.229565,0.206489,0.240669,-0.446633,0.856649,-0.0935402,-0.483574,-0.946822,1.0346,-1.47107,-0.191237,-1.63965,-1.26284
1536128086.317216984,-0.303417,-0.23178,0.205321,0.241789,-0.441423,0.858811,-0.0955331,-0.488393,-0.951209,1.03518,-1.46466,-0.192194,-1.6299,-1.26318
1536128086.336409274,-0.30341,-0.234174,0.204063,0.242985,-0.43579,0.861106,-0.0976794,-0.493592,-0.955942,1.03581,-1.45776,-0.193225,-1.61938,-1.26353
1536128086.356455257,-0.303381,-0.236747,0.202717,0.244252,-0.429736,0.863523,-0.0999758,-0.499166,-0.961016,1.03648,-1.45035,-0.194331,-1.6081,-1.26392
1536128086.377497745,-0.303326,-0.239496,0.201285,0.245586,-0.423265,0.866051,-0.102419,-0.505109,-0.966426,1.03719,-1.44246,-0.19551,-1.59608,-1.26433
1536128086.397203334,-0.303241,-0.24242,0.199769,0.246982,-0.416381,0.868677,-0.105006,-0.511415,-0.972168,1.03795,-1.43408,-0.196761,-1.58332,-1.26476
1536128086.417928934,-0.30312,-0.245517,0.198171,0.248436,-0.409087,0.87139,-0.107732,-0.518079,-0.978234,1.03876,-1.42523,-0.198084,-1.56983,-1.26522
1536128086.438876265,-0.30296,-0.248783,0.196495,0.249943,-0.40139,0.874176,-0.110595,-0.525093,-0.98462,1.0396,-1.41591,-0.199475,-1.55564,-1.26571
1536128086.458736366,-0.302755,-0.252217,0.194742,0.251497,-0.393292,0.877022,-0.113588,-0.532452,-0.991318,1.04049,-1.40613,-0.200935,-1.54075,-1.26621
1536128086.479007682,-0.3025,-0.255815,0.192916,0.253093,-0.384801,0.879915,-0.116709,-0.540146,-0.998323,1.04142,-1.39591,-0.202462,-1.52518,-1.26674
1536128086.499372378,-0.30219,-0.259574,0.19102,0.254727,-0.375923,0.882841,-0.119953,-0.54817,-1.00563,1.04238,-1.38525,-0.204054,-1.50894,-1.2673
1536128086.520074526,-0.301819,-0.26349,0.189056,0.256392,-0.366663,0.885785,-0.123314,-0.556514,-1.01322,1.04339,-1.37417,-0.20571,-1.49206,-1.26787
1536128086.542584765,-0.301383,-0.267559,0.187028,0.258084,-0.35703,0.888733,-0.126788,-0.565171,-1.0211,1.04443,-1.36267,-0.207427,-1.47454,-1.26847
1536128086.562640202,-0.300876,-0.271777,0.184941,0.259796,-0.347032,0.891672,-0.13037,-0.574132,-1.02926,1.04551,-1.35076,-0.209205,-1.45641,-1.26909
1536128086.583080141,-0.300294,-0.276138,0.182796,0.261523,-0.336676,0.894586,-0.134054,-0.583389,-1.03769,1.04663,-1.33846,-0.211042,-1.43767,-1.26973
1536128086.601586649,-0.29963,-0.280639,0.180599,0.26326,-0.325972,0.897462,-0.137836,-0.592932,-1.04638,1.04778,-1.32579,-0.212935,-1.41836,-1.27038
1536128086.622270487,-0.29888,-0.285271,0.178352,0.265001,-0.314929,0.900285,-0.141709,-0.602751,-1.05532,1.04896,-1.31274,-0.214884,-1.39849,-1.27106
1536128086.642655445,-0.29804,-0.290031,0.176061,0.26674,-0.303558,0.903041,-0.145668,-0.612838,-1.0645,1.05017,-1.29934,-0.216885,-1.37808,-1.27176
1536128086.664100270,-0.297104,-0.294912,0.173728,0.268471,-0.29187,0.905717,-0.149708,-0.623181,-1.07392,1.05142,-1.2856,-0.218937,-1.35715,-1.27247
1536128086.684214878,-0.296069,-0.299906,0.171359,0.270191,-0.279875,0.908298,-0.153822,-0.633772,-1.08356,1.0527,-1.27153,-0.221039,-1.33572,-1.2732
1536128086.704123424,-0.29493,-0.305008,0.168958,0.271893,-0.267586,0.910772,-0.158005,-0.644599,-1.09341,1.054,-1.25715,-0.223187,-1.31381,-1.27395
1536128086.724745224,-0.293684,-0.310208,0.166529,0.273571,-0.255016,0.913127,-0.162251,-0.655652,-1.10348,1.05533,-1.24246,-0.22538,-1.29145,-1.27471
