time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1536128081.595557668,0.652373,-0.0741691,-1.08056,-0.693288,-0.736062,-0.176042,0.0633366
1536128081.603515139,0.742626,-0.166255,-1.17938,-0.81101,-0.857352,-0.183067,0.0602018
1536128081.611559543,0.695397,-0.126722,-1.13802,-0.750125,-0.807592,-0.165841,0.055571
1536128081.619600105,0.642805,-0.0805897,-1.08628,-0.678949,-0.747304,-0.150608,0.0537909
1536128081.627688248,0.745596,-0.181565,-1.1899,-0.797915,-0.875612,-0.163078,0.0525178
1536128081.635694767,0.694105,-0.148425,-1.15285,-0.7454,-0.826542,-0.160996,0.0503589
1536128081.643733969,0.799921,-0.240682,-1.26708,-0.865683,-0.954443,-0.177022,0.0490199
1536128081.651743458,0.742608,-0.195276,-1.22413,-0.801828,-0.901357,-0.167807,0.0467283
1536128081.659804724,0.680474,-0.142085,-1.17753,-0.731628,-0.834529,-0.163368,0.047669
1536128081.667915141,0.781292,-0.237792,-1.29092,-0.855989,-0.959032,-0.181006,0.0442903
1536128081.676044912,0.731683,-0.196863,-1.25066,-0.794321,-0.901975,-0.172593,0.0437515
1536128081.684091896,0.836103,-0.292154,-1.36631,-0.920854,-1.03062,-0.195087,0.0413418
1536128081.692417675,0.777222,-0.239666,-1.32356,-0.858112,-0.953337,-0.188413,0.0397102
1536128081.700518290,0.713207,-0.186657,-1.26301,-0.767258,-0.881742,-0.175064,0.0384206
1536128081.708637740,0.815053,-0.272069,-1.38895,-0.893025,-1.01761,-0.194538,0.0394196
1536128081.716607838,0.760722,-0.227118,-1.35156,-0.832992,-0.95461,-0.181175,0.0364365
1536128081.724718259,0.875156,-0.319203,-1.4771,-0.962674,-1.07873,-0.198336,0.035669
1536128081.732743434,0.808807,-0.265744,-1.43341,-0.892102,-1.01512,-0.184518,0.0365204
1536128081.740977983,0.742062,-0.202981,-1.38568,-0.81516,-0.937889,-0.173058,0.0368323
1536128081.749143953,0.84435,-0.30357,-1.51444,-0.943145,-1.07028,-0.189836,0.0346779
1536128081.757278701,0.793701,-0.261562,-1.4721,-0.878667,-0.986726,-0.18604,0.0315839
1536128081.765459909,0.916878,-0.364466,-1.58202,-0.987215,-1.11403,-0.213135,0.0327807
1536128081.773661902,0.850926,-0.296005,-1.53637,-0.911141,-1.04415,-0.203412,0.0324466
1536128081.781649942,0.7861,-0.232631,-1.48297,-0.828629,-0.960465,-0.191845,0.0300641
1536128081.789693334,0.897692,-0.341352,-1.60645,-0.96068,-1.09283,-0.204877,0.0276516
1536128081.797661559,0.847275,-0.290906,-1.55789,-0.887577,-1.0182,-0.19394,0.0235733
1536128081.805759852,0.973333,-0.39446,-1.68025,-1.01997,-1.14358,-0.213659,0.0232131
1536128081.813814144,0.902815,-0.343951,-1.62493,-0.942123,-1.06313,-0.202491,0.0212529
1536128081.821790491,0.836617,-0.284638,-1.56669,-0.860052,-0.973333,-0.192996,0.0199287
1536128081.829797858,0.94837,-0.390874,-1.68978,-0.997272,-1.09882,-0.206701,0.0161274
1536128081.837896876,0.900333,-0.338712,-1.6359,-0.924726,-1.01758,-0.201121,0.0144148
1536128081.846067028,0.839462,-0.272223,-1.57539,-0.845837,-0.929502,-0.181566,0.0112474
1536128081.854317509,0.954177,-0.388167,-1.69106,-0.991827,-1.04247,-0.201611,0.0107204
1536128081.862497637,0.899444,-0.345947,-1.62012,-0.915812,-0.972423,-0.185414,0.0066558
