time,x,y,z,qx,qy,qz,qw
1535249852.341625512,0.696759,-1.4476,0.200904,0.206787,0.777532,0.0331743,0.592944
1535249852.352754371,0.697744,-1.4474,0.201665,0.208581,0.777843,0.0329055,0.591922
1535249852.360913984,0.698847,-1.44627,0.201506,0.209075,0.777891,0.0336822,0.591641
1535249852.371229496,0.699402,-1.44479,0.201817,0.205579,0.779004,0.0345934,0.591349
1535249852.390500619,0.702372,-1.44254,0.20334,0.20634,0.779436,0.0342167,0.590536
1535249852.413958003,0.703049,-1.44108,0.203033,0.205579,0.779492,0.0359014,0.590627
1535249852.421051579,0.70389,-1.43985,0.20322,0.204088,0.781096,0.0347762,0.589091
1535249852.434013050,0.70467,-1.4383,0.203568,0.203488,0.781685,0.0358569,0.588452
1535249852.445550080,0.705275,-1.43687,0.203939,0.202911,0.780495,0.0364542,0.590191
1535249852.455083999,0.706102,-1.43544,0.204474,0.201661,0.781385,0.0375765,0.589371
1535249852.465994780,0.706974,-1.43388,0.205025,0.201916,0.781174,0.0376671,0.589558
1535249852.477915091,0.707482,-1.43272,0.205536,0.200466,0.781921,0.0396469,0.588932
1535249852.496785971,0.706085,-1.43224,0.203461,0.20206,0.782618,0.0384549,0.587539
1535249852.505126885,0.7069,-1.43088,0.203881,0.199482,0.782712,0.0377232,0.588342
1535249852.514211712,0.709445,-1.42852,0.202741,0.198,0.783359,0.0415727,0.587722
1535249852.522380197,0.710277,-1.42684,0.202969,0.197344,0.784265,0.0419194,0.586709
1535249852.535288682,0.711124,-1.42521,0.203448,0.196428,0.783416,0.0429935,0.588071
1535249852.546964602,0.711713,-1.42298,0.203246,0.194199,0.783802,0.0439245,0.588228
1535249852.555664668,0.712998,-1.42201,0.203027,0.195397,0.78441,0.0439593,0.587017
1535249852.569276686,0.714329,-1.42064,0.203541,0.196521,0.785052,0.0441896,0.585765
1535249852.580638211,0.715287,-1.41895,0.204172,0.194762,0.785554,0.0455112,0.585578
1535249852.588469369,0.71574,-1.41757,0.204877,0.195181,0.785045,0.0504485,0.585716
1535249852.601437353,0.716769,-1.41628,0.205771,0.194352,0.784296,0.0513701,0.586915
1535249852.615652164,0.718447,-1.41518,0.205613,0.197515,0.784163,0.0509108,0.586075
1535249852.622861003,0.718987,-1.41372,0.2056,0.196288,0.785572,0.0539609,0.584325
1535249852.636075068,0.720243,-1.41257,0.206062,0.197033,0.785264,0.0535259,0.584529
1535249852.651985804,0.720996,-1.41163,0.205941,0.19759,0.785233,0.0530072,0.58443
1535249852.663424416,0.721768,-1.41057,0.205801,0.199103,0.785814,0.0532962,0.583108
1535249852.670157057,0.723289,-1.40924,0.206892,0.199842,0.78657,0.0545734,0.581715
1535249852.683285085,0.724746,-1.40774,0.206492,0.200716,0.787705,0.0530165,0.580021
1535249852.691885798,0.725553,-1.40614,0.206849,0.199183,0.78706,0.0532722,0.581399
1535249852.703209961,0.726373,-1.4044,0.207534,0.194239,0.788342,0.0571293,0.580969
1535249852.714231122,0.727305,-1.40288,0.207479,0.194759,0.786878,0.0565431,0.582834
1535249852.722963110,0.728039,-1.40116,0.207663,0.194767,0.787154,0.058066,0.582309
1535249852.735021799,0.728637,-1.39934,0.208302,0.190664,0.787376,0.060331,0.583136
1535249852.747606848,0.729823,-1.39814,0.207822,0.192624,0.787559,0.0594175,0.582338
1535249852.758318206,0.730864,-1.39658,0.20743,0.192693,0.788838,0.057764,0.580747
1535249852.768962600,0.731881,-1.39492,0.207688,0.190975,0.790123,0.0586257,0.579481
1535249852.780865467,0.732643,-1.39331,0.20792,0.191012,0.790025,0.0593423,0.579529
1535249852.789919814,0.733974,-1.39233,0.208145,0.192981,0.789559,0.0601344,0.579429
1535249852.808255487,0.735166,-1.39128,0.208734,0.195456,0.789644,0.0625532,0.578228
1535249852.817106790,0.735379,-1.3899,0.208862,0.194544,0.789196,0.0640716,0.578979
1535249852.824731726,0.736525,-1.3886,0.208359,0.194032,0.790795,0.0623479,0.577156
1535249852.837567963,0.737724,-1.38721,0.208642,0.194402,0.790317,0.0634059,0.577571
1535249852.847967125,0.738844,-1.38595,0.209088,0.193855,0.791091,0.0635542,0.576677
1535249852.858724801,0.739781,-1.38454,0.209681,0.195363,0.791066,0.0644135,0.576107
1535249852.869387050,0.740679,-1.38296,0.210221,0.19422,0.790134,0.0643697,0.577774
1535249852.883932548,0.741373,-1.38149,0.21098,0.196898,0.791151,0.0685655,0.574987
1535249852.891638143,0.742431,-1.37982,0.21064,0.194453,0.792764,0.0654107,0.573964
1535249852.903165136,0.743739,-1.37838,0.211043,0.195,0.793094,0.0657338,0.573285
1535249852.914776133,0.74378,-1.37632,0.211823,0.193021,0.793827,0.0676897,0.572713
1535249852.923846900,0.745032,-1.37474,0.212196,0.193041,0.794302,0.0680936,0.571999
1535249852.937879429,0.746122,-1.37269,0.212606,0.191609,0.794581,0.0674439,0.572171
1535249852.950382658,0.746612,-1.37082,0.212717,0.194762,0.794164,0.0692946,0.571462
1535249852.967516987,0.747896,-1.36919,0.21278,0.193422,0.795759,0.0693795,0.569685
1535249852.975361744,0.748485,-1.36695,0.212633,0.191263,0.796677,0.0698648,0.569072
1535249852.985377742,0.749039,-1.36481,0.213262,0.190973,0.796725,0.071321,0.568921
1535249852.993199459,0.749625,-1.36303,0.21281,0.187689,0.797794,0.0720253,0.568428
1535249853.017528190,0.752507,-1.35743,0.213389,0.189744,0.80016,0.0740186,0.564149
1535249853.038600781,0.754413,-1.35578,0.213042,0.192421,0.800318,0.0737199,0.563054
1535249853.051805508,0.754984,-1.35344,0.213551,0.192054,0.80058,0.0739785,0.562774
1535249853.060264819,0.755971,-1.35149,0.213581,0.190261,0.801605,0.0755018,0.561721
1535249853.071028990,0.75654,-1.34946,0.213567,0.190016,0.802077,0.0764179,0.561006
1535249853.084143681,0.756931,-1.34686,0.213904,0.189748,0.80272,0.0778184,0.559983
1535249853.091856756,0.758002,-1.34499,0.213249,0.188237,0.80326,0.0778244,0.559719
1535249853.104290129,0.759112,-1.34268,0.213302,0.187186,0.803949,0.0778246,0.55908
1535249853.122605379,0.758988,-1.3398,0.214223,0.184912,0.804596,0.0798262,0.558625
1535249853.134072982,0.759465,-1.33769,0.213965,0.183411,0.804504,0.0828061,0.558818
1535249853.142518901,0.759845,-1.33527,0.213911,0.183242,0.805308,0.0809693,0.557983
1535249853.151539544,0.760455,-1.33263,0.214916,0.181782,0.806133,0.08315,0.556948
1535249853.172837458,0.762099,-1.32571,0.214842,0.176443,0.807268,0.085799,0.55662
1535249853.193824035,0.762405,-1.32313,0.214645,0.175052,0.808229,0.0863026,0.555586
1535249853.205779639,0.763284,-1.32083,0.214985,0.174764,0.808541,0.086419,0.555204
1535249853.217255465,0.763423,-1.31856,0.215979,0.173416,0.808385,0.0872995,0.555716
1535249853.228267422,0.763858,-1.31702,0.21651,0.174504,0.807224,0.090943,0.556478
1535249853.241645193,0.764244,-1.31492,0.216631,0.17148,0.808477,0.0920978,0.555408
1535249853.265795036,0.764354,-1.31257,0.216803,0.172272,0.809605,0.091411,0.553631
1535249853.281795797,0.765524,-1.30886,0.215866,0.168066,0.811933,0.0908555,0.551601
1535249853.298243620,0.766543,-1.30498,0.216207,0.168611,0.812206,0.0916312,0.550904
1535249853.311785892,0.767188,-1.30294,0.216608,0.168822,0.813839,0.0937159,0.548072
1535249853.318767092,0.767777,-1.30048,0.217074,0.166452,0.814831,0.0923949,0.547548
1535249853.340975955,0.768469,-1.29454,0.216441,0.155016,0.815394,0.096207,0.549406
1535249853.360916831,0.768127,-1.29218,0.21603,0.153741,0.816128,0.0963189,0.548654
1535249853.373212473,0.768563,-1.28992,0.21618,0.151276,0.816767,0.0971934,0.548234
1535249853.385705764,0.768957,-1.28775,0.216784,0.152311,0.818343,0.0964843,0.545718
1535249853.396313336,0.77001,-1.28679,0.216061,0.15502,0.819329,0.0933058,0.544025
1535249853.407462563,0.771421,-1.28498,0.217065,0.157564,0.819794,0.0941146,0.542452
1535249853.420187007,0.771395,-1.28323,0.219087,0.161476,0.819161,0.0982519,0.541524
1535249853.429405942,0.772154,-1.28263,0.219248,0.165688,0.81772,0.100695,0.54198
1535249853.439943791,0.772378,-1.2812,0.220169,0.163557,0.817559,0.102477,0.542535
1535249853.461098898,0.772145,-1.27896,0.22023,0.16268,0.818288,0.103941,0.541421
1535249853.474672048,0.77162,-1.27736,0.21954,0.161866,0.817855,0.106665,0.541789
1535249853.485901221,0.772117,-1.27348,0.221554,0.158497,0.818739,0.110668,0.540647
1535249853.497703066,0.772019,-1.27199,0.221429,0.159525,0.816992,0.110826,0.542948
1535249853.518641958,0.772624,-1.26771,0.222919,0.159881,0.818366,0.112678,0.540388
1535249853.540257069,0.77311,-1.26623,0.222384,0.155947,0.821655,0.109975,0.537094
1535249853.553244518,0.772762,-1.26471,0.222276,0.153204,0.821875,0.108348,0.537876
1535249853.563960956,0.772908,-1.26377,0.222221,0.152093,0.82249,0.108097,0.537302
1535249853.571231134,0.773701,-1.2627,0.22267,0.151644,0.822461,0.108681,0.537355
1535249853.586286021,0.773794,-1.26167,0.222471,0.1494,0.823378,0.108412,0.536633
1535249853.597478230,0.773533,-1.2608,0.221351,0.150455,0.823783,0.106949,0.536011
1535249853.614450883,0.773818,-1.25982,0.221761,0.149386,0.823461,0.10783,0.536628
1535249853.624429257,0.773594,-1.25859,0.222243,0.148967,0.823707,0.108121,0.536308
1535249853.633060089,0.77423,-1.25827,0.222951,0.154409,0.823357,0.113455,0.5342
1535249853.643714866,0.775553,-1.25822,0.223912,0.15806,0.822658,0.113811,0.534133
1535249853.663915358,0.776508,-1.25666,0.223697,0.162503,0.824397,0.114818,0.529886
1535249853.687116454,0.777305,-1.25677,0.223061,0.16445,0.825491,0.113234,0.52792
1535249853.697428799,0.777436,-1.25662,0.22298,0.162517,0.825146,0.113399,0.529021
1535249853.706917547,0.777748,-1.25592,0.223199,0.16192,0.825202,0.115535,0.528655
1535249853.719105242,0.77803,-1.25573,0.223785,0.165467,0.824688,0.115661,0.528331
1535249853.729376454,0.777613,-1.25545,0.224111,0.162976,0.82431,0.117726,0.529238
1535249853.742166010,0.777548,-1.25501,0.22401,0.162752,0.824611,0.118083,0.528758
1535249853.752371122,0.777985,-1.25506,0.223695,0.163931,0.826668,0.115043,0.525844
1535249853.771502363,0.77785,-1.25471,0.223434,0.163861,0.826387,0.113205,0.526706
1535249853.779161602,0.777797,-1.25436,0.223384,0.163898,0.827321,0.113897,0.525076
1535249853.788804850,0.777542,-1.25415,0.22337,0.165417,0.82768,0.114075,0.523995
1535249853.798136447,0.776622,-1.25364,0.222939,0.161776,0.826789,0.114898,0.526353
1535249853.821690337,0.776525,-1.2531,0.222777,0.16121,0.827854,0.114757,0.524882
1535249853.844329231,0.776985,-1.25291,0.223261,0.160876,0.827202,0.115483,0.525852
1535249853.854825987,0.777172,-1.25289,0.22373,0.163318,0.82656,0.116796,0.525819
1535249853.862896423,0.777344,-1.2524,0.224315,0.162648,0.827072,0.11673,0.525236
1535249853.876492307,0.777529,-1.25203,0.224751,0.162442,0.826647,0.117727,0.525745
